Case_ID,Freq_Hz,DeltaT_K,L_beam_mm,t_piezo_mm,w_beam_mm,N_TEG,a0_g,f_resonance_Hz,V_PEH_V,P_PEH_mW,V_TEG_V,P_TEG_mW,P_total_mW,T_sensed_K,Efficiency_pct
15,10,15,40.0,0.2,15.0,127,0.5,41.83,0.00109,0.0,0.59649,13.3651,13.432,315.0,0.05
16,10,15,40.0,0.3,15.0,127,1.0,54.45,0.00135,0.0,0.61274,13.7293,13.798,314.89,0.05
17,10,15,40.0,0.5,15.0,127,2.0,82.82,0.00117,0.0,0.61573,13.7963,13.8653,315.63,0.05
18,10,15,50.0,0.2,15.0,127,0.5,29.7,0.00288,0.0,0.61604,13.8032,13.8723,315.17,0.05
19,10,15,50.0,0.3,15.0,127,1.0,38.6,0.00333,0.0,0.60481,13.5517,13.6195,314.92,0.05
20,10,15,50.0,0.5,15.0,127,2.0,58.57,0.00294,0.0,0.62501,14.0043,14.0743,315.34,0.05
21,10,15,60.0,0.2,15.0,127,0.5,22.42,0.00638,0.0,0.59675,13.371,13.4379,315.22,0.05
22,10,15,60.0,0.3,15.0,127,1.0,29.1,0.00735,0.0,0.60826,13.629,13.6971,314.95,0.05
23,10,15,60.0,0.5,15.0,127,2.0,44.04,0.00607,0.0,0.60358,13.5242,13.5918,314.95,0.05
24,10,30,30.0,0.2,15.0,127,0.5,64.92,0.00036,0.0,1.22702,54.347,54.6188,329.76,0.09
25,10,30,30.0,0.3,15.0,127,1.0,84.62,0.00044,0.0,1.23136,54.5395,54.8122,329.78,0.09
26,10,30,30.0,0.5,15.0,127,2.0,129.05,0.00038,0.0,1.22139,54.0978,54.3683,330.03,0.09
27,10,30,40.0,0.2,15.0,127,0.5,41.83,0.00114,0.0,1.2376,54.8158,55.0899,330.23,0.09
28,10,30,40.0,0.3,15.0,127,1.0,54.45,0.00136,0.0,1.23087,54.5178,54.7904,329.54,0.09
29,10,30,40.0,0.5,15.0,127,2.0,82.82,0.00117,0.0,1.22296,54.1672,54.438,329.95,0.09
30,10,30,50.0,0.2,15.0,127,0.5,29.7,0.00288,0.0,1.22365,54.1977,54.4687,330.17,0.09
31,10,30,50.0,0.3,15.0,127,1.0,38.6,0.00332,0.0,1.19833,53.0764,53.3418,329.74,0.09
32,10,30,50.0,0.5,15.0,127,2.0,58.57,0.00289,0.0,1.22271,54.1563,54.4271,329.73,0.09
33,10,30,60.0,0.2,15.0,127,0.5,22.42,0.00652,0.0,1.21378,53.7605,54.0293,330.21,0.1
34,10,30,60.0,0.3,15.0,127,1.0,29.1,0.0073,0.0,1.20258,53.2648,53.5311,329.84,0.09
35,10,30,60.0,0.5,15.0,127,2.0,44.04,0.00622,0.0,1.23157,54.5487,54.8214,329.94,0.09
36,10,45,30.0,0.2,15.0,127,0.5,64.92,0.00036,0.0,1.83212,119.7254,120.3241,344.59,0.14
37,10,45,30.0,0.3,15.0,127,1.0,84.62,0.00042,0.0,1.77505,115.9963,116.5762,345.11,0.13
38,10,45,30.0,0.5,15.0,127,2.0,129.05,0.00037,0.0,1.7982,117.509,118.0966,344.78,0.13
39,10,45,40.0,0.2,15.0,127,0.5,41.83,0.00112,0.0,1.81286,118.4673,119.0596,344.94,0.13
40,10,45,40.0,0.3,15.0,127,1.0,54.45,0.00136,0.0,1.83532,119.9347,120.5344,344.83,0.13
41,10,45,40.0,0.5,15.0,127,2.0,82.82,0.00117,0.0,1.82045,118.9633,119.5581,345.0,0.13
42,10,45,50.0,0.2,15.0,127,0.5,29.7,0.00285,0.0,1.80611,118.0262,118.6163,344.91,0.13
43,10,45,50.0,0.3,15.0,127,1.0,38.6,0.00332,0.0,1.79015,116.9833,117.5682,345.11,0.13
44,10,45,50.0,0.5,15.0,127,2.0,58.57,0.00283,0.0,1.79131,117.0586,117.6439,345.2,0.13
45,10,45,60.0,0.2,15.0,127,0.5,22.42,0.00651,0.0,1.80825,118.1658,118.7567,345.4,0.13
46,10,45,60.0,0.3,15.0,127,1.0,29.1,0.00738,0.0,1.81336,118.4996,119.0921,344.84,0.14
47,10,45,60.0,0.5,15.0,127,2.0,44.04,0.00624,0.0,1.84371,120.483,121.0854,345.11,0.13
48,10,60,30.0,0.2,15.0,127,0.5,64.92,0.00036,0.0,2.43099,206.5646,207.5974,360.23,0.17
49,10,60,30.0,0.3,15.0,127,1.0,84.62,0.00043,0.0,2.38832,202.9388,203.9535,360.19,0.17
50,10,60,30.0,0.5,15.0,127,2.0,129.05,0.00037,0.0,2.38581,202.7255,203.7391,360.04,0.17
51,10,60,40.0,0.2,15.0,127,0.5,41.83,0.0011,0.0,2.36061,200.5847,201.5876,360.37,0.18
52,10,60,40.0,0.3,15.0,127,1.0,54.45,0.0013,0.0,2.32721,197.7462,198.7349,360.05,0.17
53,10,60,40.0,0.5,15.0,127,2.0,82.82,0.00115,0.0,2.38505,202.661,203.6743,360.38,0.17
54,10,60,50.0,0.2,15.0,127,0.5,29.7,0.00292,0.0,2.45318,208.45,209.4922,360.1,0.17
55,10,60,50.0,0.3,15.0,127,1.0,38.6,0.00333,0.0,2.37717,201.9914,203.0013,359.38,0.16
56,10,60,50.0,0.5,15.0,127,2.0,58.57,0.00283,0.0,2.37062,201.4351,202.4423,360.07,0.16
57,10,60,60.0,0.2,15.0,127,0.5,22.42,0.00642,0.0,2.36385,200.8598,201.8641,360.11,0.17
58,10,60,60.0,0.3,15.0,127,1.0,29.1,0.00726,0.0,2.3642,200.8894,201.8939,360.03,0.18
59,10,60,60.0,0.5,15.0,127,2.0,44.04,0.00617,0.0,2.41486,205.1946,206.2205,360.07,0.16
60,10,80,30.0,0.2,15.0,127,0.5,64.92,0.00035,0.0,3.14714,344.3017,346.0232,379.79,0.23
61,10,80,30.0,0.3,15.0,127,1.0,84.62,0.00043,0.0,3.16388,346.1329,347.8635,380.17,0.22
62,10,80,30.0,0.5,15.0,127,2.0,129.05,0.00037,0.0,3.16935,346.7317,348.4653,380.11,0.21
63,10,80,40.0,0.2,15.0,127,0.5,41.83,0.00112,0.0,3.17904,347.7916,349.5305,380.38,0.21
64,10,80,40.0,0.3,15.0,127,1.0,54.45,0.00134,0.0,3.15113,344.7376,346.4613,380.21,0.22
65,10,80,40.0,0.5,15.0,127,2.0,82.82,0.00115,0.0,3.14809,344.4053,346.1273,379.76,0.22
66,10,80,50.0,0.2,15.0,127,0.5,29.7,0.00288,0.0,3.19608,349.6559,351.4042,380.13,0.22
67,10,80,50.0,0.3,15.0,127,1.0,38.6,0.00336,0.0,3.16783,346.5649,348.2977,379.43,0.21
68,10,80,50.0,0.5,15.0,127,2.0,58.57,0.00289,0.0,3.19776,349.8395,351.5887,380.13,0.21
69,10,80,60.0,0.2,15.0,127,0.5,22.42,0.00642,0.0,3.11779,341.09,342.7954,380.48,0.22
70,10,80,60.0,0.3,15.0,127,1.0,29.1,0.00732,0.0,3.14894,344.4986,346.2211,380.03,0.21
71,10,80,60.0,0.5,15.0,127,2.0,44.04,0.00614,0.0,3.1721,347.0317,348.7669,380.34,0.22
72,25,5,30.0,0.2,15.0,127,0.5,64.92,0.00252,0.0,0.202,1.5194,1.527,305.07,0.05
73,25,5,30.0,0.3,15.0,127,1.0,84.62,0.00291,0.0,0.20375,1.5327,1.5403,305.21,0.05
74,25,5,30.0,0.5,15.0,127,2.0,129.05,0.00243,0.0,0.20529,1.5442,1.5519,304.89,0.05
75,25,5,40.0,0.2,15.0,127,0.5,41.83,0.01017,0.0,0.20215,1.5206,1.5282,305.29,0.05
76,25,5,40.0,0.3,15.0,127,1.0,54.45,0.01026,0.0,0.20297,1.5268,1.5344,305.44,0.05
77,25,5,40.0,0.5,15.0,127,2.0,82.82,0.00787,0.0,0.20354,1.5311,1.5387,304.67,0.05
78,25,5,50.0,0.2,15.0,127,0.5,29.7,0.05443,0.0003,0.20485,1.5409,1.5486,304.65,0.05
79,25,5,50.0,0.3,15.0,127,1.0,38.6,0.03402,0.0001,0.20552,1.5459,1.5536,305.47,0.05
80,25,5,50.0,0.5,15.0,127,2.0,58.57,0.0209,0.0,0.20017,1.5057,1.5132,305.21,0.05
81,25,5,60.0,0.2,15.0,127,0.5,22.42,0.13216,0.0018,0.20001,1.5045,1.512,305.07,0.05
82,25,5,60.0,0.3,15.0,127,1.0,29.1,0.15316,0.0024,0.20201,1.5195,1.5271,305.06,0.05
83,25,5,60.0,0.5,15.0,127,2.0,44.04,0.05262,0.0003,0.19986,1.5034,1.5109,304.63,0.05
84,25,15,30.0,0.2,15.0,127,0.5,64.92,0.00251,0.0,0.60363,13.5251,13.5928,314.88,0.05
85,25,15,30.0,0.3,15.0,127,1.0,84.62,0.00295,0.0,0.61722,13.8297,13.8989,315.15,0.05
86,25,15,30.0,0.5,15.0,127,2.0,129.05,0.00239,0.0,0.60492,13.554,13.6217,314.9,0.05
87,25,15,40.0,0.2,15.0,127,0.5,41.83,0.01047,0.0,0.62307,13.9608,14.0306,315.05,0.05
88,25,15,40.0,0.3,15.0,127,1.0,54.45,0.01026,0.0,0.60738,13.6092,13.6773,314.86,0.05
89,25,15,40.0,0.5,15.0,127,2.0,82.82,0.00788,0.0,0.61076,13.685,13.7534,315.09,0.05
90,25,15,50.0,0.2,15.0,127,0.5,29.7,0.054,0.0003,0.60844,13.6329,13.7011,314.57,0.05
91,25,15,50.0,0.3,15.0,127,1.0,38.6,0.03364,0.0001,0.60837,13.6314,13.6996,315.17,0.05
92,25,15,50.0,0.5,15.0,127,2.0,58.57,0.02125,0.0,0.60927,13.6516,13.7199,314.72,0.05
93,25,15,60.0,0.2,15.0,127,0.5,22.42,0.1342,0.0018,0.60798,13.6225,13.6906,314.76,0.05
94,25,15,60.0,0.3,15.0,127,1.0,29.1,0.15571,0.0024,0.61481,13.7756,13.8445,315.45,0.05
95,25,15,60.0,0.5,15.0,127,2.0,44.04,0.05293,0.0003,0.60183,13.4849,13.5523,315.32,0.05
96,25,30,30.0,0.2,15.0,127,0.5,64.92,0.00255,0.0,1.21927,54.0038,54.2738,330.01,0.09
97,25,30,30.0,0.3,15.0,127,1.0,84.62,0.00291,0.0,1.21259,53.708,53.9765,330.06,0.09
98,25,30,30.0,0.5,15.0,127,2.0,129.05,0.00243,0.0,1.22733,54.3606,54.6325,329.96,0.09
99,25,30,40.0,0.2,15.0,127,0.5,41.83,0.01036,0.0,1.22817,54.3978,54.6698,329.71,0.09
100,25,30,40.0,0.3,15.0,127,1.0,54.45,0.01015,0.0,1.19701,53.0177,53.2828,330.18,0.09
101,25,30,40.0,0.5,15.0,127,2.0,82.82,0.00787,0.0,1.21422,53.7803,54.0492,330.29,0.09
102,25,30,50.0,0.2,15.0,127,0.5,29.7,0.05414,0.0003,1.21483,53.8073,54.0763,329.56,0.09
103,25,30,50.0,0.3,15.0,127,1.0,38.6,0.03307,0.0001,1.19097,52.7502,53.0139,329.65,0.09
104,25,30,50.0,0.5,15.0,127,2.0,58.57,0.02075,0.0,1.18446,52.4619,52.7242,330.19,0.09
105,25,30,60.0,0.2,15.0,127,0.5,22.42,0.13607,0.0018,1.22762,54.3737,54.6456,330.1,0.09
106,25,30,60.0,0.3,15.0,127,1.0,29.1,0.15423,0.0024,1.21273,53.7141,53.9826,329.69,0.09
107,25,30,60.0,0.5,15.0,127,2.0,44.04,0.05347,0.0003,1.21077,53.6274,53.8955,329.46,0.09
108,25,45,30.0,0.2,15.0,127,0.5,64.92,0.00247,0.0,1.76023,115.0279,115.603,345.09,0.14
109,25,45,30.0,0.3,15.0,127,1.0,84.62,0.00293,0.0,1.82135,119.0219,119.617,344.55,0.14
110,25,45,30.0,0.5,15.0,127,2.0,129.05,0.0024,0.0,1.80773,118.1317,118.7223,344.9,0.13
111,25,45,40.0,0.2,15.0,127,0.5,41.83,0.01019,0.0,1.80099,117.6915,118.2799,344.31,0.13
112,25,45,40.0,0.3,15.0,127,1.0,54.45,0.01026,0.0,1.80529,117.9726,118.5624,344.8,0.13
113,25,45,40.0,0.5,15.0,127,2.0,82.82,0.00779,0.0,1.7931,117.1759,117.7618,345.16,0.12
114,25,45,50.0,0.2,15.0,127,0.5,29.7,0.05329,0.0003,1.78387,116.5727,117.1556,345.0,0.13
115,25,45,50.0,0.3,15.0,127,1.0,38.6,0.03336,0.0001,1.79208,117.1091,117.6947,345.29,0.13
116,25,45,50.0,0.5,15.0,127,2.0,58.57,0.02107,0.0,1.79478,117.2859,117.8723,344.83,0.13
117,25,45,60.0,0.2,15.0,127,0.5,22.42,0.13503,0.0018,1.81746,118.7679,119.3618,345.33,0.13
118,25,45,60.0,0.3,15.0,127,1.0,29.1,0.15356,0.0024,1.80132,117.7132,118.3017,344.47,0.14
119,25,45,60.0,0.5,15.0,127,2.0,44.04,0.0537,0.0003,1.81411,118.5489,119.1416,344.73,0.12
120,25,60,30.0,0.2,15.0,127,0.5,64.92,0.00251,0.0,2.37311,201.6467,202.6549,360.2,0.17
121,25,60,30.0,0.3,15.0,127,1.0,84.62,0.00291,0.0,2.40114,204.0282,205.0483,359.78,0.17
122,25,60,30.0,0.5,15.0,127,2.0,129.05,0.00238,0.0,2.3743,201.7481,202.7568,360.05,0.16
123,25,60,40.0,0.2,15.0,127,0.5,41.83,0.0102,0.0,2.38971,203.0568,204.0721,360.07,0.16
124,25,60,40.0,0.3,15.0,127,1.0,54.45,0.01028,0.0,2.39664,203.6461,204.6643,360.11,0.16
125,25,60,40.0,0.5,15.0,127,2.0,82.82,0.00792,0.0,2.41461,205.1726,206.1985,360.26,0.17
126,25,60,50.0,0.2,15.0,127,0.5,29.7,0.05492,0.0003,2.43575,206.9692,208.0041,359.72,0.17
127,25,60,50.0,0.3,15.0,127,1.0,38.6,0.0339,0.0001,2.41276,205.0154,206.0405,359.71,0.16
128,25,60,50.0,0.5,15.0,127,2.0,58.57,0.02063,0.0,2.32829,197.8385,198.8277,359.77,0.17
129,25,60,60.0,0.2,15.0,127,0.5,22.42,0.13707,0.0018,2.44408,207.6773,208.7157,359.94,0.17
130,25,60,60.0,0.3,15.0,127,1.0,29.1,0.15375,0.0024,2.38934,203.0259,204.0411,360.05,0.16
131,25,60,60.0,0.5,15.0,127,2.0,44.04,0.05301,0.0003,2.37223,201.5719,202.5798,359.91,0.17
132,25,80,30.0,0.2,15.0,127,0.5,64.92,0.00254,0.0,3.17136,346.9511,348.6859,380.04,0.22
133,25,80,30.0,0.3,15.0,127,1.0,84.62,0.00288,0.0,3.13678,343.1681,344.8839,379.7,0.22
134,25,80,30.0,0.5,15.0,127,2.0,129.05,0.00239,0.0,3.14826,344.4239,346.1461,379.93,0.22
135,25,80,40.0,0.2,15.0,127,0.5,41.83,0.01011,0.0,3.12732,342.1327,343.8433,379.87,0.23
136,25,80,40.0,0.3,15.0,127,1.0,54.45,0.01047,0.0,3.22059,352.3371,354.0988,379.96,0.21
137,25,80,40.0,0.5,15.0,127,2.0,82.82,0.00784,0.0,3.15595,345.2657,346.992,379.5,0.22
138,25,80,50.0,0.2,15.0,127,0.5,29.7,0.05399,0.0003,3.16082,345.7985,347.5275,379.95,0.21
139,25,80,50.0,0.3,15.0,127,1.0,38.6,0.03442,0.0001,3.23405,353.8094,355.5785,380.04,0.22
140,25,80,50.0,0.5,15.0,127,2.0,58.57,0.02124,0.0,3.16409,346.156,347.8868,379.88,0.22
141,25,80,60.0,0.2,15.0,127,0.5,22.42,0.13396,0.0018,3.15345,344.9916,346.7166,380.06,0.22
142,25,80,60.0,0.3,15.0,127,1.0,29.1,0.1522,0.0023,3.1224,341.5948,343.3028,379.48,0.21
143,25,80,60.0,0.5,15.0,127,2.0,44.04,0.05368,0.0003,3.1714,346.9554,348.6902,379.58,0.22
144,40,5,30.0,0.2,15.0,127,0.5,64.92,0.00873,0.0,0.19935,1.4995,1.507,305.07,0.05
145,40,5,30.0,0.3,15.0,127,1.0,84.62,0.00868,0.0,0.20203,1.5197,1.5273,305.18,0.05
146,40,5,30.0,0.5,15.0,127,2.0,129.05,0.00666,0.0,0.20661,1.5542,1.5619,305.09,0.05
147,40,5,40.0,0.2,15.0,127,0.5,41.83,0.19213,0.0037,0.20278,1.5254,1.533,305.07,0.05
148,40,5,40.0,0.3,15.0,127,1.0,54.45,0.04552,0.0002,0.20538,1.5449,1.5526,305.13,0.05
149,40,5,40.0,0.5,15.0,127,2.0,82.82,0.0241,0.0001,0.20553,1.546,1.5537,305.44,0.05
150,40,5,50.0,0.2,15.0,127,0.5,29.7,0.05025,0.0002,0.20533,1.5445,1.5522,304.98,0.05
151,40,5,50.0,0.3,15.0,127,1.0,38.6,0.66982,0.0452,0.20159,1.5164,1.5592,305.0,0.05
152,40,5,50.0,0.5,15.0,127,2.0,58.57,0.0838,0.0007,0.20466,1.5394,1.5471,304.8,0.05
153,40,5,60.0,0.2,15.0,127,0.5,22.42,0.03865,0.0001,0.20522,1.5437,1.5514,305.2,0.05
154,40,5,60.0,0.3,15.0,127,1.0,29.1,0.11341,0.0013,0.19712,1.4827,1.4902,304.5,0.05
155,40,5,60.0,0.5,15.0,127,2.0,44.04,0.52527,0.0276,0.20268,1.5246,1.5508,305.24,0.05
156,40,15,30.0,0.2,15.0,127,0.5,64.92,0.00892,0.0,0.60976,13.6624,13.7307,314.88,0.05
157,40,15,30.0,0.3,15.0,127,1.0,84.62,0.00876,0.0,0.61037,13.6762,13.7445,315.19,0.05
158,40,15,30.0,0.5,15.0,127,2.0,129.05,0.00646,0.0,0.60009,13.4459,13.5131,314.99,0.05
159,40,15,40.0,0.2,15.0,127,0.5,41.83,0.1932,0.0037,0.61045,13.6779,13.7463,315.17,0.05
160,40,15,40.0,0.3,15.0,127,1.0,54.45,0.04545,0.0002,0.6138,13.7531,13.8218,315.36,0.05
161,40,15,40.0,0.5,15.0,127,2.0,82.82,0.0243,0.0001,0.62034,13.8996,13.9691,314.98,0.05
162,40,15,50.0,0.2,15.0,127,0.5,29.7,0.04948,0.0002,0.60518,13.56,13.6278,314.95,0.05
163,40,15,50.0,0.3,15.0,127,1.0,38.6,0.66806,0.0451,0.6019,13.4864,13.5538,315.04,0.05
164,40,15,50.0,0.5,15.0,127,2.0,58.57,0.08388,0.0007,0.61326,13.741,13.8097,315.02,0.05
165,40,15,60.0,0.2,15.0,127,0.5,22.42,0.03859,0.0001,0.61338,13.7436,13.8123,314.83,0.05
166,40,15,60.0,0.3,15.0,127,1.0,29.1,0.1161,0.0014,0.6041,13.5356,13.6033,314.79,0.05
167,40,15,60.0,0.5,15.0,127,2.0,44.04,0.52779,0.0278,0.60967,13.6605,13.7288,314.95,0.05
168,40,30,30.0,0.2,15.0,127,0.5,64.92,0.00895,0.0,1.21847,53.9682,54.2381,329.79,0.09
169,40,30,30.0,0.3,15.0,127,1.0,84.62,0.00884,0.0,1.22685,54.3396,54.6113,329.8,0.09
170,40,30,30.0,0.5,15.0,127,2.0,129.05,0.0066,0.0,1.22055,54.0605,54.3308,330.39,0.09
171,40,30,40.0,0.2,15.0,127,0.5,41.83,0.18632,0.0036,1.17236,51.9263,52.1859,330.07,0.09
172,40,30,40.0,0.3,15.0,127,1.0,54.45,0.04615,0.0002,1.24118,54.9741,55.249,329.87,0.09
173,40,30,40.0,0.5,15.0,127,2.0,82.82,0.02381,0.0001,1.2108,53.6288,53.8969,330.06,0.09
174,40,30,50.0,0.2,15.0,127,0.5,29.7,0.04999,0.0002,1.21782,53.9395,54.2092,330.42,0.09
175,40,30,50.0,0.3,15.0,127,1.0,38.6,0.67796,0.0457,1.21643,53.878,54.1474,329.95,0.09
176,40,30,50.0,0.5,15.0,127,2.0,58.57,0.08246,0.0007,1.20064,53.1787,53.4446,330.14,0.09
177,40,30,60.0,0.2,15.0,127,0.5,22.42,0.03887,0.0001,1.23041,54.4974,54.7699,330.11,0.09
178,40,30,60.0,0.3,15.0,127,1.0,29.1,0.11613,0.0014,1.20344,53.3027,53.5692,329.85,0.09
179,40,30,60.0,0.5,15.0,127,2.0,44.04,0.51444,0.0271,1.18342,52.4161,52.6782,329.48,0.08
180,40,45,30.0,0.2,15.0,127,0.5,64.92,0.00908,0.0,1.84455,120.5379,121.1405,344.88,0.12
181,40,45,30.0,0.3,15.0,127,1.0,84.62,0.00887,0.0,1.83673,120.0269,120.627,344.32,0.13
182,40,45,30.0,0.5,15.0,127,2.0,129.05,0.00647,0.0,1.78625,116.7283,117.3119,345.36,0.13
183,40,45,40.0,0.2,15.0,127,0.5,41.83,0.19146,0.0037,1.7973,117.45,118.0373,344.9,0.13
184,40,45,40.0,0.3,15.0,127,1.0,54.45,0.04478,0.0002,1.79692,117.4256,118.0127,345.32,0.13
185,40,45,40.0,0.5,15.0,127,2.0,82.82,0.02385,0.0001,1.80916,118.2255,118.8166,345.08,0.13
186,40,45,50.0,0.2,15.0,127,0.5,29.7,0.04971,0.0002,1.80661,118.0585,118.6488,345.22,0.13
187,40,45,50.0,0.3,15.0,127,1.0,38.6,0.65298,0.0441,1.74793,114.2238,114.7949,344.87,0.13
188,40,45,50.0,0.5,15.0,127,2.0,58.57,0.08376,0.0007,1.81942,118.8958,119.4903,344.82,0.14
189,40,45,60.0,0.2,15.0,127,0.5,22.42,0.03838,0.0001,1.81282,118.4648,119.0571,345.19,0.14
190,40,45,60.0,0.3,15.0,127,1.0,29.1,0.11611,0.0014,1.79504,117.3027,117.8892,345.11,0.13
191,40,45,60.0,0.5,15.0,127,2.0,44.04,0.53433,0.0281,1.8338,119.8355,120.4347,344.52,0.13
192,40,60,30.0,0.2,15.0,127,0.5,64.92,0.00902,0.0,2.42567,206.1132,207.1437,360.11,0.17
193,40,60,30.0,0.3,15.0,127,1.0,84.62,0.00883,0.0,2.4223,205.8262,206.8553,360.22,0.16
194,40,60,30.0,0.5,15.0,127,2.0,129.05,0.00661,0.0,2.41733,205.4044,206.4314,360.04,0.16
195,40,60,40.0,0.2,15.0,127,0.5,41.83,0.19473,0.0037,2.42168,205.7736,206.8025,359.89,0.17
196,40,60,40.0,0.3,15.0,127,1.0,54.45,0.04531,0.0002,2.40868,204.6694,205.6928,360.21,0.17
197,40,60,40.0,0.5,15.0,127,2.0,82.82,0.0231,0.0001,2.32103,197.2217,198.2078,359.96,0.17
198,40,60,50.0,0.2,15.0,127,0.5,29.7,0.04947,0.0002,2.38182,202.3866,203.3986,360.01,0.18
199,40,60,50.0,0.3,15.0,127,1.0,38.6,0.66177,0.0446,2.3468,199.411,200.408,360.03,0.17
200,40,60,50.0,0.5,15.0,127,2.0,58.57,0.08232,0.0007,2.36902,201.2995,202.306,360.01,0.16
201,40,60,60.0,0.2,15.0,127,0.5,22.42,0.0373,0.0001,2.33378,198.3046,199.2961,360.59,0.17
202,40,60,60.0,0.3,15.0,127,1.0,29.1,0.1193,0.0014,2.44331,207.6115,208.6496,359.99,0.17
203,40,60,60.0,0.5,15.0,127,2.0,44.04,0.52477,0.0276,2.38592,202.7354,203.7491,359.88,0.17
204,40,80,30.0,0.2,15.0,127,0.5,64.92,0.00873,0.0,3.09984,339.1262,340.8218,379.84,0.22
205,40,80,30.0,0.3,15.0,127,1.0,84.62,0.00866,0.0,3.13535,343.0117,344.7267,379.61,0.22
206,40,80,30.0,0.5,15.0,127,2.0,129.05,0.00677,0.0,3.26973,357.713,359.5015,379.8,0.23
207,40,80,40.0,0.2,15.0,127,0.5,41.83,0.19696,0.0038,3.23356,353.7562,355.525,379.91,0.21
208,40,80,40.0,0.3,15.0,127,1.0,54.45,0.04492,0.0002,3.1524,344.8765,346.6009,380.18,0.22
209,40,80,40.0,0.5,15.0,127,2.0,82.82,0.02392,0.0001,3.17305,347.1361,348.8718,379.31,0.21
210,40,80,50.0,0.2,15.0,127,0.5,29.7,0.05054,0.0003,3.21243,351.4439,353.2011,379.78,0.21
211,40,80,50.0,0.3,15.0,127,1.0,38.6,0.67833,0.0458,3.17552,347.4065,349.1435,379.78,0.21
212,40,80,50.0,0.5,15.0,127,2.0,58.57,0.08359,0.0007,3.17555,347.4089,349.146,379.95,0.22
213,40,80,60.0,0.2,15.0,127,0.5,22.42,0.03878,0.0001,3.20349,350.4665,352.2188,379.97,0.22
214,40,80,60.0,0.3,15.0,127,1.0,29.1,0.11729,0.0014,3.17109,346.9211,348.6557,379.7,0.22
215,40,80,60.0,0.5,15.0,127,2.0,44.04,0.53678,0.0282,3.22177,352.4661,354.2284,379.78,0.21
216,55,5,30.0,0.2,15.0,127,0.5,64.92,0.0371,0.0001,0.20432,1.5369,1.5446,304.91,0.05
217,55,5,30.0,0.3,15.0,127,1.0,84.62,0.02224,0.0,0.20368,1.5321,1.5397,304.9,0.05
218,55,5,30.0,0.5,15.0,127,2.0,129.05,0.01388,0.0,0.20636,1.5522,1.56,304.87,0.05
219,55,5,40.0,0.2,15.0,127,0.5,41.83,0.04343,0.0002,0.20169,1.5171,1.5247,304.86,0.05
220,55,5,40.0,0.3,15.0,127,1.0,54.45,1.63394,0.2689,0.20158,1.5163,1.7694,305.1,0.05
221,55,5,40.0,0.5,15.0,127,2.0,82.82,0.06268,0.0004,0.20624,1.5513,1.5591,305.14,0.05
222,55,5,50.0,0.2,15.0,127,0.5,29.7,0.03144,0.0001,0.20294,1.5265,1.5341,305.13,0.05
223,55,5,50.0,0.3,15.0,127,1.0,38.6,0.09074,0.0008,0.20041,1.5075,1.5151,304.81,0.05
224,55,5,50.0,0.5,15.0,127,2.0,58.57,0.70304,0.0494,0.20329,1.5291,1.576,304.91,0.05
225,55,5,60.0,0.2,15.0,127,0.5,22.42,0.0313,0.0001,0.20204,1.5198,1.5274,304.87,0.05
226,55,5,60.0,0.3,15.0,127,1.0,29.1,0.07648,0.0006,0.20346,1.5305,1.5381,304.64,0.05
227,55,5,60.0,0.5,15.0,127,2.0,44.04,0.31202,0.0098,0.20162,1.5166,1.5259,304.6,0.05
