L_beam_mm,DeltaT_K,P_total_mW,P_PEH_mW,P_TEG_mW
25.0,73.88,303.7288,9.629,298.8203
25.0,75.41,320.9718,9.629,310.2443
25.0,76.94,331.0899,9.629,321.8339
25.0,78.47,347.8458,9.629,333.5863
25.0,80.0,359.5386,9.629,345.4989
25.82,5.0,11.6342,10.1245,1.5272
25.82,6.53,12.5681,10.1245,2.6019
25.82,8.06,14.0619,10.1245,3.959
25.82,9.59,15.3733,10.1245,5.5974
25.82,11.12,17.3511,10.1245,7.5156
25.82,12.65,19.5155,10.1245,9.7124
25.82,14.18,21.796,10.1245,12.1862
25.82,15.71,24.7355,10.1245,14.9358
25.82,17.24,27.5199,10.1245,17.9596
25.82,18.78,30.6172,10.1245,21.256
25.82,20.31,34.2338,10.1245,24.8237
25.82,21.84,37.5847,10.1245,28.6609
25.82,23.37,41.5747,10.1245,32.7661
25.82,24.9,47.0113,10.1245,37.1376
25.82,26.43,52.1706,10.1245,41.7737
25.82,27.96,56.1285,10.1245,46.6729
25.82,29.49,61.6536,10.1245,51.8332
25.82,31.02,66.3838,10.1245,57.2531
25.82,32.55,72.4074,10.1245,62.9307
25.82,34.08,78.327,10.1245,68.8641
25.82,35.61,84.8497,10.1245,75.0517
25.82,37.14,91.9619,10.1245,81.4915
25.82,38.67,97.6805,10.1245,88.1817
25.82,40.2,104.8848,10.1245,95.1059
25.82,41.73,111.3177,10.1245,102.1726
25.82,43.27,117.7494,10.1245,109.4669
25.82,44.8,124.6186,10.1245,116.986
25.82,46.33,134.5781,10.1245,124.7271
25.82,47.86,144.6981,10.1245,132.6873
25.82,49.39,153.0172,10.1245,140.864
25.82,50.92,160.7715,10.1245,149.2542
25.82,52.45,171.1688,10.1245,157.8553
25.82,53.98,177.8808,10.1245,166.6642
25.82,55.51,188.0506,10.1245,175.6784
25.82,57.04,196.6159,10.1245,184.8948
25.82,58.57,205.6151,10.1245,194.3107
25.82,60.1,216.1838,10.1245,203.9233
25.82,61.63,223.8863,10.1245,213.7298
25.82,63.16,235.5773,10.1245,223.7272
25.82,64.69,244.7874,10.1245,233.9128
25.82,66.22,253.0957,10.1245,244.2838
25.82,67.76,263.8653,10.1245,254.8373
25.82,69.29,276.144,10.1245,265.5705
25.82,70.82,291.7966,10.1245,276.4807
25.82,72.35,300.9206,10.1245,287.5649
25.82,73.88,310.5791,10.1245,298.8203
25.82,75.41,321.8656,10.1245,310.2443
25.82,76.94,336.9062,10.1245,321.8339
25.82,78.47,340.0098,10.1245,333.5863
25.82,80.0,347.9353,10.1245,345.4989
26.63,5.0,11.9579,10.6282,1.5272
26.63,6.53,13.0442,10.6282,2.6019
26.63,8.06,14.1444,10.6282,3.959
26.63,9.59,15.5751,10.6282,5.5974
26.63,11.12,17.1671,10.6282,7.5156
26.63,12.65,19.4383,10.6282,9.7124
26.63,14.18,22.047,10.6282,12.1862
26.63,15.71,24.8494,10.6282,14.9358
26.63,17.24,28.1258,10.6282,17.9596
26.63,18.78,31.9157,10.6282,21.256
26.63,20.31,35.7708,10.6282,24.8237
26.63,21.84,39.2727,10.6282,28.6609
26.63,23.37,42.5637,10.6282,32.7661
26.63,24.9,47.2602,10.6282,37.1376
26.63,26.43,51.8072,10.6282,41.7737
26.63,27.96,55.7778,10.6282,46.6729
26.63,29.49,60.6594,10.6282,51.8332
26.63,31.02,66.7641,10.6282,57.2531
26.63,32.55,73.4475,10.6282,62.9307
26.63,34.08,79.1005,10.6282,68.8641
26.63,35.61,84.3135,10.6282,75.0517
26.63,37.14,91.4919,10.6282,81.4915
26.63,38.67,98.6646,10.6282,88.1817
26.63,40.2,106.1142,10.6282,95.1059
26.63,41.73,113.9435,10.6282,102.1726
26.63,43.27,120.8663,10.6282,109.4669
26.63,44.8,127.4012,10.6282,116.986
26.63,46.33,134.9349,10.6282,124.7271
26.63,47.86,143.2434,10.6282,132.6873
26.63,49.39,150.6097,10.6282,140.864
26.63,50.92,157.8409,10.6282,149.2542
26.63,52.45,167.2417,10.6282,157.8553
26.63,53.98,178.4153,10.6282,166.6642
26.63,55.51,189.9593,10.6282,175.6784
26.63,57.04,198.3653,10.6282,184.8948
26.63,58.57,207.204,10.6282,194.3107
26.63,60.1,216.6453,10.6282,203.9233
26.63,61.63,226.2445,10.6282,213.7298
26.63,63.16,236.8683,10.6282,223.7272
26.63,64.69,241.6285,10.6282,233.9128
26.63,66.22,249.5987,10.6282,244.2838
26.63,67.76,258.7446,10.6282,254.8373
26.63,69.29,266.589,10.6282,265.5705
26.63,70.82,282.9723,10.6282,276.4807
26.63,72.35,295.5871,10.6282,287.5649
26.63,73.88,304.2234,10.6282,298.8203
26.63,75.41,317.2086,10.6282,310.2443
26.63,76.94,333.7817,10.6282,321.8339
26.63,78.47,344.9282,10.6282,333.5863
26.63,80.0,361.1188,10.6282,345.4989
27.45,5.0,12.8577,11.1401,1.5272
27.45,6.53,13.8259,11.1401,2.6019
27.45,8.06,15.0596,11.1401,3.959
27.45,9.59,16.5737,11.1401,5.5974
27.45,11.12,18.1388,11.1401,7.5156
27.45,12.65,19.9879,11.1401,9.7124
27.45,14.18,22.243,11.1401,12.1862
27.45,15.71,25.2019,11.1401,14.9358
27.45,17.24,28.1703,11.1401,17.9596
27.45,18.78,31.3992,11.1401,21.256
27.45,20.31,34.985,11.1401,24.8237
27.45,21.84,39.0277,11.1401,28.6609
27.45,23.37,43.7641,11.1401,32.7661
27.45,24.9,48.2672,11.1401,37.1376
27.45,26.43,52.1907,11.1401,41.7737
27.45,27.96,56.8142,11.1401,46.6729
27.45,29.49,61.3438,11.1401,51.8332
27.45,31.02,68.1654,11.1401,57.2531
27.45,32.55,73.3752,11.1401,62.9307
27.45,34.08,78.7436,11.1401,68.8641
27.45,35.61,84.9441,11.1401,75.0517
27.45,37.14,91.4876,11.1401,81.4915
27.45,38.67,96.9337,11.1401,88.1817
27.45,40.2,103.633,11.1401,95.1059
27.45,41.73,112.398,11.1401,102.1726
27.45,43.27,118.1862,11.1401,109.4669
27.45,44.8,126.4782,11.1401,116.986
27.45,46.33,132.7987,11.1401,124.7271
27.45,47.86,144.146,11.1401,132.6873
27.45,49.39,151.5396,11.1401,140.864
27.45,50.92,157.9201,11.1401,149.2542
27.45,52.45,168.2765,11.1401,157.8553
27.45,53.98,178.4975,11.1401,166.6642
27.45,55.51,185.2698,11.1401,175.6784
27.45,57.04,194.6768,11.1401,184.8948
27.45,58.57,205.9052,11.1401,194.3107
27.45,60.1,216.0066,11.1401,203.9233
27.45,61.63,227.3238,11.1401,213.7298
27.45,63.16,237.8702,11.1401,223.7272
27.45,64.69,248.9979,11.1401,233.9128
27.45,66.22,260.5819,11.1401,244.2838
27.45,67.76,270.7387,11.1401,254.8373
27.45,69.29,281.1242,11.1401,265.5705
27.45,70.82,291.5108,11.1401,276.4807
27.45,72.35,299.4089,11.1401,287.5649
27.45,73.88,307.4747,11.1401,298.8203
27.45,75.41,325.8951,11.1401,310.2443
27.45,76.94,331.4029,11.1401,321.8339
27.45,78.47,345.2228,11.1401,333.5863
27.45,80.0,356.0809,11.1401,345.4989
28.27,5.0,13.1588,11.6599,1.5272
28.27,6.53,14.315,11.6599,2.6019
28.27,8.06,15.3174,11.6599,3.959
28.27,9.59,16.8012,11.6599,5.5974
28.27,11.12,18.4661,11.6599,7.5156
28.27,12.65,20.4304,11.6599,9.7124
28.27,14.18,22.8062,11.6599,12.1862
28.27,15.71,25.6336,11.6599,14.9358
28.27,17.24,28.6759,11.6599,17.9596
28.27,18.78,31.7658,11.6599,21.256
28.27,20.31,35.8057,11.6599,24.8237
28.27,21.84,39.9755,11.6599,28.6609
28.27,23.37,43.1289,11.6599,32.7661
28.27,24.9,47.4834,11.6599,37.1376
28.27,26.43,51.9177,11.6599,41.7737
28.27,27.96,57.1111,11.6599,46.6729
28.27,29.49,63.1867,11.6599,51.8332
28.27,31.02,69.2262,11.6599,57.2531
28.27,32.55,73.9896,11.6599,62.9307
28.27,34.08,79.2587,11.6599,68.8641
28.27,35.61,86.6239,11.6599,75.0517
28.27,37.14,93.2769,11.6599,81.4915
28.27,38.67,100.0206,11.6599,88.1817
28.27,40.2,105.6373,11.6599,95.1059
28.27,41.73,113.5008,11.6599,102.1726
28.27,43.27,119.3573,11.6599,109.4669
28.27,44.8,128.9035,11.6599,116.986
28.27,46.33,139.644,11.6599,124.7271
28.27,47.86,146.0135,11.6599,132.6873
28.27,49.39,153.6268,11.6599,140.864
28.27,50.92,162.3917,11.6599,149.2542
28.27,52.45,169.8735,11.6599,157.8553
28.27,53.98,178.2163,11.6599,166.6642
28.27,55.51,186.7573,11.6599,175.6784
28.27,57.04,196.8176,11.6599,184.8948
28.27,58.57,205.0363,11.6599,194.3107
28.27,60.1,208.7311,11.6599,203.9233
28.27,61.63,217.4394,11.6599,213.7298
28.27,63.16,232.7406,11.6599,223.7272
28.27,64.69,244.7654,11.6599,233.9128
28.27,66.22,251.4712,11.6599,244.2838
28.27,67.76,264.0388,11.6599,254.8373
28.27,69.29,280.1889,11.6599,265.5705
28.27,70.82,292.5785,11.6599,276.4807
28.27,72.35,296.5412,11.6599,287.5649
28.27,73.88,306.2695,11.6599,298.8203
28.27,75.41,322.7212,11.6599,310.2443
28.27,76.94,338.3816,11.6599,321.8339
28.27,78.47,351.3142,11.6599,333.5863
28.27,80.0,360.4712,11.6599,345.4989
29.08,5.0,13.662,12.1875,1.5272
29.08,6.53,14.6726,12.1875,2.6019
29.08,8.06,16.1084,12.1875,3.959
29.08,9.59,17.4615,12.1875,5.5974
29.08,11.12,18.9123,12.1875,7.5156
29.08,12.65,21.0128,12.1875,9.7124
29.08,14.18,22.7219,12.1875,12.1862
29.08,15.71,25.5244,12.1875,14.9358
29.08,17.24,29.031,12.1875,17.9596
29.08,18.78,32.6645,12.1875,21.256
29.08,20.31,36.456,12.1875,24.8237
29.08,21.84,40.1094,12.1875,28.6609
29.08,23.37,44.595,12.1875,32.7661
29.08,24.9,47.6892,12.1875,37.1376
29.08,26.43,52.5273,12.1875,41.7737
29.08,27.96,58.5798,12.1875,46.6729
29.08,29.49,63.9033,12.1875,51.8332
29.08,31.02,68.6598,12.1875,57.2531
29.08,32.55,74.092,12.1875,62.9307
29.08,34.08,78.9968,12.1875,68.8641
29.08,35.61,84.7266,12.1875,75.0517
29.08,37.14,91.8428,12.1875,81.4915
29.08,38.67,97.3408,12.1875,88.1817
29.08,40.2,104.647,12.1875,95.1059
29.08,41.73,112.4862,12.1875,102.1726
29.08,43.27,119.1439,12.1875,109.4669
29.08,44.8,127.5018,12.1875,116.986
29.08,46.33,135.9331,12.1875,124.7271
29.08,47.86,143.4287,12.1875,132.6873
29.08,49.39,151.0307,12.1875,140.864
29.08,50.92,158.5012,12.1875,149.2542
29.08,52.45,169.1416,12.1875,157.8553
29.08,53.98,179.3713,12.1875,166.6642
29.08,55.51,186.2255,12.1875,175.6784
29.08,57.04,197.6488,12.1875,184.8948
29.08,58.57,208.7317,12.1875,194.3107
29.08,60.1,219.3691,12.1875,203.9233
29.08,61.63,233.3445,12.1875,213.7298
29.08,63.16,241.7655,12.1875,223.7272
29.08,64.69,249.6694,12.1875,233.9128
29.08,66.22,256.428,12.1875,244.2838
29.08,67.76,264.0044,12.1875,254.8373
29.08,69.29,275.3445,12.1875,265.5705
29.08,70.82,291.3904,12.1875,276.4807
29.08,72.35,302.915,12.1875,287.5649
29.08,73.88,307.4214,12.1875,298.8203
29.08,75.41,323.2156,12.1875,310.2443
29.08,76.94,329.9861,12.1875,321.8339
29.08,78.47,346.0112,12.1875,333.5863
29.08,80.0,355.2626,12.1875,345.4989
29.9,5.0,14.0597,12.7227,1.5272
29.9,6.53,15.2168,12.7227,2.6019
29.9,8.06,16.4668,12.7227,3.959
29.9,9.59,17.7514,12.7227,5.5974
29.9,11.12,19.747,12.7227,7.5156
29.9,12.65,21.3934,12.7227,9.7124
29.9,14.18,23.767,12.7227,12.1862
29.9,15.71,26.4778,12.7227,14.9358
29.9,17.24,29.6542,12.7227,17.9596
29.9,18.78,32.5962,12.7227,21.256
29.9,20.31,37.46,12.7227,24.8237
29.9,21.84,40.9495,12.7227,28.6609
29.9,23.37,44.5232,12.7227,32.7661
29.9,24.9,48.6584,12.7227,37.1376
29.9,26.43,53.5132,12.7227,41.7737
29.9,27.96,58.7309,12.7227,46.6729
29.9,29.49,64.0825,12.7227,51.8332
29.9,31.02,69.5436,12.7227,57.2531
29.9,32.55,74.3481,12.7227,62.9307
29.9,34.08,81.7827,12.7227,68.8641
29.9,35.61,88.857,12.7227,75.0517
29.9,37.14,93.1724,12.7227,81.4915
29.9,38.67,99.5909,12.7227,88.1817
29.9,40.2,108.0753,12.7227,95.1059
29.9,41.73,114.7856,12.7227,102.1726
29.9,43.27,122.7402,12.7227,109.4669
29.9,44.8,130.7591,12.7227,116.986
29.9,46.33,138.1817,12.7227,124.7271
29.9,47.86,147.833,12.7227,132.6873
29.9,49.39,157.8009,12.7227,140.864
29.9,50.92,162.8196,12.7227,149.2542
29.9,52.45,171.3175,12.7227,157.8553
29.9,53.98,180.5588,12.7227,166.6642
29.9,55.51,192.9297,12.7227,175.6784
29.9,57.04,199.3742,12.7227,184.8948
29.9,58.57,211.979,12.7227,194.3107
29.9,60.1,216.9743,12.7227,203.9233
29.9,61.63,228.7538,12.7227,213.7298
29.9,63.16,241.7261,12.7227,223.7272
29.9,64.69,253.5981,12.7227,233.9128
29.9,66.22,261.3837,12.7227,244.2838
29.9,67.76,269.7694,12.7227,254.8373
29.9,69.29,288.0663,12.7227,265.5705
29.9,70.82,294.5434,12.7227,276.4807
29.9,72.35,298.1912,12.7227,287.5649
29.9,73.88,309.9891,12.7227,298.8203
29.9,75.41,323.1043,12.7227,310.2443
29.9,76.94,330.1773,12.7227,321.8339
29.9,78.47,345.279,12.7227,333.5863
29.9,80.0,350.4202,12.7227,345.4989
30.71,5.0,14.3773,13.2654,1.5272
30.71,6.53,15.2581,13.2654,2.6019
30.71,8.06,16.7706,13.2654,3.959
30.71,9.59,18.4582,13.2654,5.5974
30.71,11.12,19.8905,13.2654,7.5156
30.71,12.65,21.8975,13.2654,9.7124
30.71,14.18,24.3892,13.2654,12.1862
30.71,15.71,27.0339,13.2654,14.9358
30.71,17.24,30.6911,13.2654,17.9596
30.71,18.78,33.4616,13.2654,21.256
30.71,20.31,36.8194,13.2654,24.8237
30.71,21.84,41.2789,13.2654,28.6609
30.71,23.37,45.2705,13.2654,32.7661
30.71,24.9,49.0891,13.2654,37.1376
30.71,26.43,53.5004,13.2654,41.7737
30.71,27.96,58.8164,13.2654,46.6729
30.71,29.49,64.7139,13.2654,51.8332
30.71,31.02,69.8707,13.2654,57.2531
30.71,32.55,75.5722,13.2654,62.9307
30.71,34.08,82.3834,13.2654,68.8641
30.71,35.61,87.6818,13.2654,75.0517
30.71,37.14,94.206,13.2654,81.4915
30.71,38.67,100.0084,13.2654,88.1817
30.71,40.2,107.28,13.2654,95.1059
30.71,41.73,115.4587,13.2654,102.1726
30.71,43.27,121.0114,13.2654,109.4669
30.71,44.8,127.8554,13.2654,116.986
30.71,46.33,137.1095,13.2654,124.7271
30.71,47.86,144.4942,13.2654,132.6873
30.71,49.39,154.475,13.2654,140.864
30.71,50.92,162.2418,13.2654,149.2542
30.71,52.45,170.5075,13.2654,157.8553
30.71,53.98,177.6521,13.2654,166.6642
30.71,55.51,188.1666,13.2654,175.6784
30.71,57.04,199.5136,13.2654,184.8948
30.71,58.57,208.4921,13.2654,194.3107
30.71,60.1,221.0804,13.2654,203.9233
30.71,61.63,232.0686,13.2654,213.7298
30.71,63.16,240.637,13.2654,223.7272
30.71,64.69,247.1139,13.2654,233.9128
30.71,66.22,259.877,13.2654,244.2838
30.71,67.76,262.227,13.2654,254.8373
30.71,69.29,276.8802,13.2654,265.5705
30.71,70.82,290.9574,13.2654,276.4807
30.71,72.35,297.0719,13.2654,287.5649
30.71,73.88,307.7924,13.2654,298.8203
30.71,75.41,318.8757,13.2654,310.2443
30.71,76.94,334.7304,13.2654,321.8339
30.71,78.47,345.9927,13.2654,333.5863
30.71,80.0,363.5022,13.2654,345.4989
31.53,5.0,15.3175,13.8153,1.5272
31.53,6.53,16.2942,13.8153,2.6019
31.53,8.06,17.7171,13.8153,3.959
31.53,9.59,19.3392,13.8153,5.5974
31.53,11.12,20.8545,13.8153,7.5156
31.53,12.65,22.7106,13.8153,9.7124
31.53,14.18,24.5605,13.8153,12.1862
31.53,15.71,27.4063,13.8153,14.9358
31.53,17.24,30.9844,13.8153,17.9596
31.53,18.78,34.2183,13.8153,21.256
31.53,20.31,37.3817,13.8153,24.8237
31.53,21.84,41.5627,13.8153,28.6609
31.53,23.37,45.9082,13.8153,32.7661
31.53,24.9,50.4936,13.8153,37.1376
31.53,26.43,55.8951,13.8153,41.7737
31.53,27.96,59.8615,13.8153,46.6729
31.53,29.49,65.1802,13.8153,51.8332
31.53,31.02,70.4794,13.8153,57.2531
31.53,32.55,76.7871,13.8153,62.9307
31.53,34.08,80.3512,13.8153,68.8641
31.53,35.61,87.8711,13.8153,75.0517
31.53,37.14,92.894,13.8153,81.4915
31.53,38.67,98.8368,13.8153,88.1817
31.53,40.2,106.8329,13.8153,95.1059
31.53,41.73,114.16,13.8153,102.1726
31.53,43.27,121.5154,13.8153,109.4669
31.53,44.8,129.3932,13.8153,116.986
31.53,46.33,137.3485,13.8153,124.7271
31.53,47.86,145.9844,13.8153,132.6873
31.53,49.39,153.1704,13.8153,140.864
31.53,50.92,161.2336,13.8153,149.2542
31.53,52.45,171.5355,13.8153,157.8553
31.53,53.98,180.9741,13.8153,166.6642
31.53,55.51,186.5465,13.8153,175.6784
31.53,57.04,200.6594,13.8153,184.8948
31.53,58.57,212.2937,13.8153,194.3107
31.53,60.1,219.0629,13.8153,203.9233
31.53,61.63,228.4049,13.8153,213.7298
31.53,63.16,236.7776,13.8153,223.7272
31.53,64.69,244.243,13.8153,233.9128
31.53,66.22,258.4866,13.8153,244.2838
31.53,67.76,267.8241,13.8153,254.8373
31.53,69.29,278.8524,13.8153,265.5705
31.53,70.82,286.0631,13.8153,276.4807
31.53,72.35,301.2562,13.8153,287.5649
31.53,73.88,314.1606,13.8153,298.8203
31.53,75.41,321.5904,13.8153,310.2443
31.53,76.94,336.1893,13.8153,321.8339
31.53,78.47,345.4772,13.8153,333.5863
31.53,80.0,359.4174,13.8153,345.4989
32.35,5.0,15.9186,14.3725,1.5272
32.35,6.53,16.8319,14.3725,2.6019
32.35,8.06,18.1,14.3725,3.959
32.35,9.59,19.6702,14.3725,5.5974
32.35,11.12,21.4019,14.3725,7.5156
32.35,12.65,23.3697,14.3725,9.7124
32.35,14.18,26.0449,14.3725,12.1862
32.35,15.71,28.2646,14.3725,14.9358
32.35,17.24,31.3952,14.3725,17.9596
32.35,18.78,34.6152,14.3725,21.256
32.35,20.31,38.3541,14.3725,24.8237
32.35,21.84,42.5534,14.3725,28.6609
32.35,23.37,46.778,14.3725,32.7661
32.35,24.9,50.782,14.3725,37.1376
32.35,26.43,54.705,14.3725,41.7737
32.35,27.96,60.5078,14.3725,46.6729
32.35,29.49,66.3747,14.3725,51.8332
32.35,31.02,71.8191,14.3725,57.2531
32.35,32.55,75.1387,14.3725,62.9307
32.35,34.08,81.7457,14.3725,68.8641
32.35,35.61,88.0989,14.3725,75.0517
32.35,37.14,95.2127,14.3725,81.4915
32.35,38.67,101.1554,14.3725,88.1817
32.35,40.2,108.6426,14.3725,95.1059
32.35,41.73,115.9445,14.3725,102.1726
32.35,43.27,122.3745,14.3725,109.4669
32.35,44.8,130.7967,14.3725,116.986
32.35,46.33,137.8096,14.3725,124.7271
32.35,47.86,146.1695,14.3725,132.6873
32.35,49.39,153.3739,14.3725,140.864
32.35,50.92,162.6278,14.3725,149.2542
32.35,52.45,171.4155,14.3725,157.8553
32.35,53.98,177.444,14.3725,166.6642
32.35,55.51,186.8295,14.3725,175.6784
32.35,57.04,195.5328,14.3725,184.8948
32.35,58.57,204.176,14.3725,194.3107
32.35,60.1,215.7624,14.3725,203.9233
32.35,61.63,222.8152,14.3725,213.7298
32.35,63.16,235.2061,14.3725,223.7272
32.35,64.69,245.4921,14.3725,233.9128
32.35,66.22,254.5478,14.3725,244.2838
32.35,67.76,267.8207,14.3725,254.8373
32.35,69.29,277.5777,14.3725,265.5705
32.35,70.82,294.0918,14.3725,276.4807
32.35,72.35,307.6569,14.3725,287.5649
32.35,73.88,312.7602,14.3725,298.8203
32.35,75.41,321.3728,14.3725,310.2443
32.35,76.94,333.9969,14.3725,321.8339
32.35,78.47,344.2416,14.3725,333.5863
32.35,80.0,350.4389,14.3725,345.4989
33.16,5.0,16.301,14.9366,1.5272
33.16,6.53,17.3443,14.9366,2.6019
33.16,8.06,18.5739,14.9366,3.959
33.16,9.59,19.9504,14.9366,5.5974
33.16,11.12,21.4357,14.9366,7.5156
33.16,12.65,23.5891,14.9366,9.7124
33.16,14.18,26.0512,14.9366,12.1862
33.16,15.71,28.3192,14.9366,14.9358
33.16,17.24,31.198,14.9366,17.9596
33.16,18.78,34.4871,14.9366,21.256
33.16,20.31,38.1492,14.9366,24.8237
33.16,21.84,41.7004,14.9366,28.6609
33.16,23.37,45.7755,14.9366,32.7661
33.16,24.9,50.1441,14.9366,37.1376
33.16,26.43,54.1353,14.9366,41.7737
33.16,27.96,58.9421,14.9366,46.6729
33.16,29.49,64.986,14.9366,51.8332
33.16,31.02,68.9002,14.9366,57.2531
33.16,32.55,75.184,14.9366,62.9307
33.16,34.08,81.6693,14.9366,68.8641
33.16,35.61,88.4114,14.9366,75.0517
33.16,37.14,95.0744,14.9366,81.4915
33.16,38.67,101.0577,14.9366,88.1817
33.16,40.2,109.071,14.9366,95.1059
33.16,41.73,114.5132,14.9366,102.1726
33.16,43.27,123.1118,14.9366,109.4669
33.16,44.8,129.4384,14.9366,116.986
33.16,46.33,137.7675,14.9366,124.7271
33.16,47.86,147.5438,14.9366,132.6873
33.16,49.39,157.86,14.9366,140.864
33.16,50.92,166.3665,14.9366,149.2542
33.16,52.45,170.9255,14.9366,157.8553
33.16,53.98,175.6875,14.9366,166.6642
33.16,55.51,184.415,14.9366,175.6784
33.16,57.04,196.0201,14.9366,184.8948
33.16,58.57,203.2661,14.9366,194.3107
33.16,60.1,213.5541,14.9366,203.9233
33.16,61.63,224.7861,14.9366,213.7298
33.16,63.16,236.1476,14.9366,223.7272
33.16,64.69,245.8299,14.9366,233.9128
33.16,66.22,259.5859,14.9366,244.2838
33.16,67.76,269.9286,14.9366,254.8373
33.16,69.29,283.6892,14.9366,265.5705
33.16,70.82,294.3091,14.9366,276.4807
33.16,72.35,304.5562,14.9366,287.5649
33.16,73.88,311.7,14.9366,298.8203
33.16,75.41,324.3595,14.9366,310.2443
33.16,76.94,336.126,14.9366,321.8339
33.16,78.47,350.6266,14.9366,333.5863
33.16,80.0,356.9638,14.9366,345.4989
33.98,5.0,16.9501,15.5076,1.5272
33.98,6.53,18.1193,15.5076,2.6019
33.98,8.06,19.691,15.5076,3.959
33.98,9.59,21.4078,15.5076,5.5974
33.98,11.12,22.5892,15.5076,7.5156
33.98,12.65,23.9956,15.5076,9.7124
33.98,14.18,26.608,15.5076,12.1862
33.98,15.71,28.9334,15.5076,14.9358
33.98,17.24,31.2577,15.5076,17.9596
33.98,18.78,35.1511,15.5076,21.256
33.98,20.31,39.0722,15.5076,24.8237
33.98,21.84,43.7088,15.5076,28.6609
33.98,23.37,47.6781,15.5076,32.7661
33.98,24.9,51.1548,15.5076,37.1376
33.98,26.43,56.3493,15.5076,41.7737
33.98,27.96,62.2268,15.5076,46.6729
33.98,29.49,67.3677,15.5076,51.8332
33.98,31.02,72.3505,15.5076,57.2531
33.98,32.55,78.5884,15.5076,62.9307
33.98,34.08,83.5551,15.5076,68.8641
33.98,35.61,89.3519,15.5076,75.0517
33.98,37.14,96.5913,15.5076,81.4915
33.98,38.67,100.8906,15.5076,88.1817
33.98,40.2,109.0676,15.5076,95.1059
33.98,41.73,117.1098,15.5076,102.1726
33.98,43.27,123.9338,15.5076,109.4669
33.98,44.8,133.3806,15.5076,116.986
33.98,46.33,142.424,15.5076,124.7271
33.98,47.86,150.0636,15.5076,132.6873
33.98,49.39,155.9136,15.5076,140.864
33.98,50.92,163.6739,15.5076,149.2542
33.98,52.45,171.2973,15.5076,157.8553
33.98,53.98,181.939,15.5076,166.6642
33.98,55.51,192.0368,15.5076,175.6784
33.98,57.04,199.7658,15.5076,184.8948
33.98,58.57,207.3241,15.5076,194.3107
33.98,60.1,216.3664,15.5076,203.9233
33.98,61.63,226.0829,15.5076,213.7298
33.98,63.16,234.5856,15.5076,223.7272
33.98,64.69,247.6004,15.5076,233.9128
33.98,66.22,255.9722,15.5076,244.2838
33.98,67.76,266.9277,15.5076,254.8373
33.98,69.29,279.4836,15.5076,265.5705
33.98,70.82,289.9954,15.5076,276.4807
33.98,72.35,302.698,15.5076,287.5649
33.98,73.88,312.5926,15.5076,298.8203
33.98,75.41,325.3437,15.5076,310.2443
33.98,76.94,334.9192,15.5076,321.8339
33.98,78.47,343.7203,15.5076,333.5863
33.98,80.0,357.7124,15.5076,345.4989
34.8,5.0,17.1226,16.0854,1.5272
34.8,6.53,18.1763,16.0854,2.6019
34.8,8.06,19.8518,16.0854,3.959
34.8,9.59,21.2533,16.0854,5.5974
34.8,11.12,22.6822,16.0854,7.5156
34.8,12.65,24.8874,16.0854,9.7124
34.8,14.18,27.2086,16.0854,12.1862
34.8,15.71,29.7112,16.0854,14.9358
34.8,17.24,32.5968,16.0854,17.9596
34.8,18.78,36.0509,16.0854,21.256
34.8,20.31,40.1084,16.0854,24.8237
34.8,21.84,44.503,16.0854,28.6609
