DeltaT_K,V_Thomson_N71,V_Ideal_N71,P_mW_Thomson_N71,P_mW_Ideal_N71,V_Thomson_N127,V_Ideal_N127,P_mW_Thomson_N127,P_mW_Ideal_N127,V_Thomson_N199,V_Ideal_N199,P_mW_Thomson_N199,P_mW_Ideal_N199
6.02,0.135825,0.136981,1.2422,1.2524,0.247907,0.245489,2.2417,2.2142,0.380267,0.386391,3.4747,3.4545
6.284,0.142546,0.142107,1.338,1.3464,0.257218,0.254982,2.4217,2.4135,0.402096,0.402024,3.792,3.7563
6.548,0.14857,0.148731,1.4724,1.4771,0.268723,0.26462,2.616,2.5955,0.412768,0.418419,4.1084,4.0865
6.813,0.152529,0.155022,1.5852,1.5821,0.275242,0.276974,2.8038,2.8198,0.432617,0.434103,4.4428,4.3931
7.077,0.161262,0.161569,1.6792,1.7195,0.288538,0.285017,3.0291,3.0644,0.450863,0.450665,4.8058,4.7992
7.341,0.169345,0.168126,1.8098,1.8417,0.299434,0.296455,3.2658,3.3013,0.467622,0.468093,5.1755,5.1691
7.605,0.17359,0.174747,1.9578,1.995,0.306568,0.3105,3.516,3.5508,0.484147,0.484372,5.569,5.5246
7.87,0.178348,0.180359,2.1118,2.1272,0.317758,0.317905,3.7659,3.8214,0.496496,0.500204,5.9068,5.9476
8.134,0.183784,0.184515,2.2548,2.2431,0.330268,0.328858,4.0306,4.0858,0.515169,0.517157,6.3085,6.3819
8.398,0.190039,0.189466,2.3861,2.4019,0.341578,0.343,4.304,4.3056,0.530778,0.533958,6.7351,6.7584
8.662,0.197159,0.196727,2.5291,2.5775,0.354584,0.352028,4.5609,4.6193,0.548763,0.554547,7.2488,7.1972
8.926,0.203404,0.202253,2.7139,2.7191,0.359384,0.364681,4.8439,4.8951,0.562965,0.570484,7.6465,7.6555
9.191,0.207456,0.208323,2.8737,2.8976,0.371421,0.377126,5.1491,5.2167,0.582297,0.585201,8.125,8.1943
9.455,0.212547,0.215757,2.9982,3.0807,0.378995,0.385677,5.3508,5.4856,0.605311,0.603394,8.5274,8.6051
9.719,0.223504,0.221839,3.1992,3.2444,0.392786,0.394842,5.7586,5.7603,0.615013,0.618793,9.0967,9.0327
9.983,0.226316,0.228909,3.3633,3.4005,0.402844,0.405718,6.034,6.1154,0.633,0.637193,9.4416,9.572
10.247,0.234035,0.233892,3.5066,3.5789,0.416809,0.415732,6.4131,6.5529,0.650122,0.6522,9.9948,10.0071
10.512,0.237458,0.240026,3.688,3.7692,0.42589,0.4269,6.7816,6.848,0.663574,0.672443,10.4857,10.6493
10.776,0.244992,0.243356,3.8491,4.0327,0.435536,0.437616,7.0169,7.15,0.681707,0.683659,11.0675,11.0864
11.04,0.252796,0.250618,4.1571,4.2161,0.450479,0.450701,7.3235,7.4438,0.697793,0.704992,11.519,11.6058
11.304,0.258734,0.257062,4.3493,4.3751,0.464128,0.461968,7.7005,7.872,0.713365,0.717491,12.1117,12.1957
11.569,0.266657,0.262605,4.5916,4.5832,0.467702,0.47056,8.0599,8.2065,0.729033,0.735077,12.5578,12.9465
11.833,0.269419,0.268067,4.7188,4.7689,0.476724,0.484077,8.4991,8.5519,0.748652,0.751356,13.1144,13.5822
12.097,0.277103,0.274975,4.961,5.0813,0.489235,0.494487,8.8588,8.9157,0.767838,0.768015,13.8252,14.1661
12.361,0.283863,0.278674,5.0984,5.2862,0.502338,0.501264,9.2853,9.4966,0.789458,0.788488,14.4222,14.8272
12.625,0.285539,0.28503,5.3637,5.4688,0.51559,0.514378,9.8161,9.8123,0.796513,0.805007,15.1584,15.2958
12.89,0.294445,0.294301,5.6327,5.7204,0.526185,0.526667,10.0876,10.179,0.806969,0.819843,15.7486,15.8629
13.154,0.298958,0.298943,5.8509,6.0523,0.540677,0.538594,10.5066,10.6635,0.825309,0.840631,16.4315,16.6484
13.418,0.303485,0.305606,6.0911,6.2031,0.547601,0.545202,10.8823,11.01,0.84536,0.852813,16.777,17.1798
13.682,0.309745,0.311212,6.3316,6.4291,0.561418,0.557168,11.3715,11.4839,0.868918,0.867953,17.5567,17.9619
13.946,0.31753,0.314129,6.4956,6.6713,0.575299,0.57313,11.9534,12.0135,0.882922,0.884503,18.0117,18.4914
14.211,0.323995,0.323322,6.8668,6.8975,0.582868,0.582069,12.2508,12.5548,0.894224,0.906778,19.02,19.4809
14.475,0.331066,0.328938,7.1673,7.1589,0.589617,0.591647,12.7099,12.9457,0.900411,0.926922,19.8231,20.0137
14.739,0.332925,0.33593,7.366,7.4379,0.595693,0.59673,13.4183,13.4262,0.927947,0.94309,21.0592,20.6976
15.003,0.336396,0.342571,7.6501,7.7281,0.608721,0.612277,14.0616,13.7553,0.932853,0.952134,21.333,21.492
15.268,0.346641,0.346974,7.9708,8.0122,0.619296,0.619646,14.2118,14.3011,0.967318,0.969468,22.1548,22.6118
15.532,0.354148,0.352926,8.211,8.2794,0.634761,0.631095,14.2587,14.8555,0.987999,0.994771,22.7385,23.2234
15.796,0.359614,0.358979,8.4103,8.4702,0.644512,0.642632,15.0703,15.2622,1.006085,1.011497,23.6517,23.9004
16.06,0.362102,0.367074,8.6713,8.8141,0.652198,0.650356,15.5277,15.7673,1.024406,1.026588,24.6687,24.9504
16.324,0.372994,0.374686,8.877,9.1299,0.665632,0.662093,16.0933,16.3694,1.044082,1.036324,25.3779,25.7164
16.589,0.376149,0.379781,9.2353,9.3825,0.669412,0.668172,16.3624,16.7862,1.047715,1.055766,26.3038,26.5903
16.853,0.379587,0.382407,9.6766,9.6968,0.692357,0.682964,16.9866,17.4323,1.062094,1.069331,27.2231,27.2925
17.117,0.387968,0.387755,9.8317,10.1105,0.69684,0.696374,17.7142,17.9619,1.085449,1.093144,27.5759,28.2335
17.381,0.394471,0.396258,10.1026,10.3619,0.711085,0.706877,18.2214,18.5964,1.105019,1.110384,28.6673,28.7146
17.645,0.393741,0.400268,10.4769,10.7255,0.709678,0.710713,18.8308,19.1732,1.116286,1.128471,29.2776,30.0708
17.91,0.404806,0.407403,10.7315,11.0136,0.726189,0.720128,19.2298,19.7796,1.144604,1.135223,30.0749,30.9018
18.174,0.410026,0.412704,10.9927,11.3718,0.733463,0.732467,20.1965,20.1213,1.159051,1.161031,31.2879,31.7011
18.438,0.418976,0.417706,11.5297,11.7278,0.741736,0.749994,20.6884,20.8739,1.166099,1.180486,32.2516,32.5925
18.702,0.426472,0.426464,11.7924,12.069,0.756079,0.765184,21.4504,21.6552,1.180062,1.184008,33.3062,33.2886
18.967,0.43155,0.429248,12.0776,12.3445,0.773647,0.771581,21.6226,22.1639,1.221015,1.198105,34.2063,34.2129
19.231,0.438715,0.438104,12.4779,12.6345,0.777569,0.788005,22.2141,22.6119,1.231045,1.21998,34.7793,35.4857
19.495,0.445638,0.440895,12.9484,12.9295,0.79636,0.794279,23.0654,23.4742,1.240096,1.237315,35.7376,36.487
19.759,0.447864,0.447857,13.2434,13.3548,0.81002,0.804625,23.5836,23.9108,1.24261,1.251867,36.7277,37.6315
20.023,0.453888,0.45342,13.4885,13.6284,0.813972,0.815665,24.0316,24.5809,1.258823,1.264195,37.65,38.5519
20.288,0.456693,0.4618,13.9034,14.1444,0.819654,0.824395,24.3775,25.1873,1.282411,1.29957,38.8205,39.5554
20.552,0.463033,0.468894,14.3365,14.469,0.827043,0.836258,25.5856,25.6758,1.286817,1.323211,39.2874,40.5461
20.816,0.468215,0.470101,14.692,14.7897,0.832004,0.845381,26.0769,26.4716,1.315623,1.341325,40.8261,41.1994
21.08,0.474106,0.477259,14.9072,14.9162,0.856216,0.86245,26.7502,27.1122,1.324804,1.345917,42.14,42.3123
21.344,0.484632,0.48504,15.3425,15.3679,0.868404,0.86781,27.2331,28.0446,1.349945,1.368656,42.5697,43.3776
21.609,0.494639,0.49006,15.7448,15.8127,0.869808,0.881898,28.0738,28.8607,1.374992,1.380498,44.2406,44.9006
21.873,0.494056,0.494789,16.2259,16.3485,0.874763,0.891147,29.0279,29.4623,1.388124,1.399792,44.9337,46.3512
22.137,0.500411,0.503021,16.4126,16.6537,0.892756,0.89358,29.6487,30.1165,1.393763,1.410482,46.1707,47.3514
22.401,0.505978,0.51026,16.8186,17.1228,0.912065,0.901945,30.3113,30.7578,1.410877,1.428735,47.4347,48.3276
22.666,0.510446,0.516551,17.2827,17.5485,0.923815,0.922436,31.0455,31.5597,1.432066,1.454366,48.6761,49.647
22.93,0.515142,0.520339,17.6824,17.9127,0.933309,0.931246,31.4555,32.2015,1.452984,1.466472,49.4615,49.8444
23.194,0.52519,0.526208,18.1401,18.3823,0.943922,0.950179,32.2197,32.4797,1.470534,1.473117,51.1559,51.2025
23.458,0.533362,0.531395,18.3429,18.8815,0.939312,0.964767,32.413,33.9419,1.478205,1.498128,52.2538,52.8799
23.722,0.534401,0.538948,19.0529,19.1505,0.953006,0.960459,33.5048,34.8626,1.487815,1.506134,53.0012,53.814
23.987,0.533609,0.54763,19.6411,19.7727,0.966699,0.981283,34.7505,35.5286,1.528171,1.526316,54.9281,55.3284
24.251,0.542842,0.556841,19.948,20.3497,0.979219,0.989758,35.336,36.5024,1.538041,1.536488,56.9281,56.3077
24.515,0.546254,0.55445,20.4107,20.6044,0.980537,0.995166,35.54,37.1295,1.539587,1.549955,56.7001,57.5459
24.779,0.559187,0.558535,20.5746,21.0627,0.996087,1.004556,36.2567,38.2847,1.55398,1.590896,58.4279,58.8545
25.043,0.569044,0.567328,21.2326,21.4361,1.013813,1.02087,37.2498,38.5865,1.568785,1.606558,59.1439,60.245
25.308,0.567624,0.573509,21.473,22.0444,1.008063,1.020763,38.5393,39.2621,1.596602,1.615046,60.3105,61.1951
25.572,0.578463,0.58139,21.9929,22.3996,1.024132,1.032196,38.9591,40.2294,1.612462,1.619125,61.1916,63.3348
25.836,0.586949,0.587559,22.2308,22.6407,1.046339,1.037285,39.8814,40.8849,1.639122,1.648827,62.6164,64.3405
26.1,0.593171,0.594632,22.7004,23.0853,1.056163,1.051148,40.6503,41.8029,1.665732,1.669686,64.0821,66.0914
26.365,0.592009,0.59954,23.2668,23.6051,1.071034,1.067145,41.6252,42.5573,1.66362,1.681701,65.1787,67.1507
26.629,0.597286,0.60168,23.7701,24.1877,1.075244,1.088621,42.2494,43.5964,1.680015,1.706123,66.7217,68.4726
26.893,0.607857,0.607969,24.2078,25.0226,1.083678,1.088382,43.2129,44.329,1.683685,1.722333,65.8635,69.9966
27.157,0.613685,0.61235,24.7502,25.4563,1.08427,1.102062,44.3097,45.3736,1.711759,1.72725,68.1537,71.2346
27.421,0.61138,0.620583,25.4839,25.9654,1.11007,1.110288,44.5899,46.0326,1.734374,1.744797,70.2391,72.4695
27.686,0.623228,0.628918,25.9774,26.3571,1.123381,1.126357,46.0904,46.9073,1.766952,1.766321,71.3317,73.3246
27.95,0.633828,0.636669,26.3677,26.6872,1.133183,1.135036,46.3726,48.216,1.756102,1.788858,72.5493,74.3872
28.214,0.639683,0.640907,26.8774,27.517,1.131814,1.148035,47.6257,49.0874,1.785341,1.801071,75.0855,76.1984
28.478,0.645858,0.648404,27.3064,27.7907,1.157953,1.157447,48.2084,49.7718,1.793363,1.816912,76.5769,77.9071
28.742,0.648581,0.646675,27.7405,28.1573,1.168982,1.174514,48.7584,50.6667,1.822833,1.843418,76.9111,79.1824
29.007,0.658562,0.656048,28.127,28.7408,1.180363,1.187198,50.512,51.4449,1.842922,1.843657,79.2736,79.9637
29.271,0.660885,0.6623,28.5217,29.2461,1.198829,1.20274,50.3603,52.7153,1.853673,1.859408,79.4698,81.8223
29.535,0.66426,0.672986,29.232,29.855,1.21377,1.202765,51.3191,53.7291,1.862456,1.866511,82.2056,84.4739
29.799,0.678613,0.679887,29.6979,30.7296,1.205662,1.219815,51.9097,54.8185,1.887904,1.88887,83.1213,86.1302
30.064,0.68979,0.6825,30.5191,30.9454,1.211272,1.224719,53.5724,56.1457,1.905615,1.913108,83.6753,87.2158
30.328,0.688074,0.690861,30.8004,31.6569,1.217723,1.231933,54.5678,56.9657,1.925404,1.927123,86.2026,88.8126
30.592,0.690733,0.697807,31.2721,32.2213,1.217609,1.252592,54.7465,57.5727,1.93908,1.94469,87.3537,91.6268
30.856,0.693275,0.695671,32.3272,32.5269,1.234945,1.263207,57.0158,58.7321,1.940679,1.966314,88.6265,92.0242
31.12,0.699714,0.702827,32.2855,33.1635,1.241268,1.271421,58.355,59.6527,1.983131,1.993089,90.7297,94.1229
31.385,0.71343,0.715581,32.5533,33.9823,1.270101,1.282936,58.515,60.8384,1.980518,1.997372,92.0281,95.592
31.649,0.71746,0.717986,32.7423,34.5585,1.285093,1.290034,59.9594,61.3349,2.00408,2.020436,93.2277,96.9203
31.913,0.715442,0.72076,33.7869,34.9599,1.290888,1.292385,60.0627,62.5078,2.025938,2.041934,94.4372,98.2831
32.177,0.713351,0.72939,34.0523,35.2814,1.284689,1.300782,61.2998,63.5709,2.042477,2.032947,96.2327,98.7719
32.441,0.735587,0.733563,34.5491,35.7796,1.30114,1.323778,62.3042,64.7978,2.039136,2.053906,98.5357,100.6069
32.706,0.735365,0.744256,35.2079,36.6051,1.326292,1.330355,62.9599,65.3715,2.072717,2.089447,98.5515,101.329
32.97,0.733524,0.75024,36.0466,37.4287,1.324091,1.337128,64.6639,66.6119,2.099298,2.097132,101.0367,103.6046
33.234,0.748916,0.755421,36.4196,37.999,1.327566,1.34941,64.7852,68.3405,2.112803,2.102831,103.2228,107.0236
33.498,0.753352,0.758277,37.5021,38.4304,1.34446,1.367425,66.9174,68.8227,2.169668,2.115273,102.4013,108.7963
33.763,0.763204,0.766917,38.4977,38.9425,1.355138,1.381957,68.2771,69.9635,2.165427,2.142924,105.2927,110.1954
34.027,0.769176,0.771073,38.5418,39.7021,1.378754,1.386873,70.1272,70.4776,2.151161,2.167447,109.0352,112.2972
34.291,0.768004,0.782843,38.5102,40.3266,1.384807,1.395836,69.6986,71.1269,2.148227,2.203895,109.0938,113.7265
34.555,0.771177,0.786822,39.7279,40.8203,1.386341,1.396285,69.7362,73.3894,2.174525,2.215088,110.473,114.883
34.819,0.782179,0.800556,40.5565,41.4479,1.404111,1.410979,71.4238,74.0428,2.19198,2.228632,113.4636,115.9238
35.084,0.781303,0.8,40.7582,42.3306,1.409615,1.430339,72.0912,74.8661,2.214437,2.245372,115.1131,117.6422
35.348,0.793024,0.805237,41.8187,42.6332,1.421254,1.435486,72.8602,77.0507,2.233195,2.25374,116.4401,118.861
35.612,0.805145,0.806461,41.9678,43.7592,1.434672,1.440128,75.2591,77.0765,2.244318,2.256307,117.5541,120.5723
35.876,0.812603,0.814855,43.4267,43.9034,1.457016,1.457187,75.97,78.9099,2.260169,2.282916,119.8092,121.8976
36.14,0.814785,0.818747,44.2489,45.2347,1.466176,1.458058,77.3866,80.6158,2.28526,2.307028,119.2992,125.0525
36.405,0.809101,0.824709,43.6441,45.2416,1.460943,1.476374,78.7195,81.6274,2.28672,2.333921,123.6577,126.3113
36.669,0.818543,0.834415,44.8064,46.095,1.478933,1.486798,79.5816,82.3074,2.272772,2.336828,123.554,129.0679
36.933,0.830228,0.841565,43.9418,46.9579,1.496785,1.498604,81.0083,83.5486,2.32428,2.336499,124.002,129.8791
37.197,0.842312,0.851,44.5192,47.9285,1.509511,1.505698,80.416,84.5579,2.33658,2.367664,125.3142,132.4259
37.462,0.835875,0.856481,46.1767,48.579,1.506103,1.526067,83.3549,86.543,2.347906,2.381578,127.4034,133.7267
37.726,0.847785,0.858247,46.9333,49.3315,1.519912,1.531927,84.4514,87.0255,2.379678,2.407679,130.5254,134.0144
37.99,0.859214,0.866552,47.7687,49.2865,1.53134,1.545189,84.1974,88.2904,2.388163,2.414674,133.7217,136.6673
38.254,0.86959,0.867078,48.3393,49.9263,1.550327,1.561874,86.1014,90.0333,2.408904,2.434032,134.8219,139.9681
38.518,0.870372,0.874945,48.6424,50.576,1.541289,1.576389,88.6061,89.9514,2.438942,2.430192,135.1934,142.3945
38.783,0.872318,0.884067,48.9925,51.5706,1.561037,1.583123,89.0874,90.7989,2.427142,2.456147,138.6933,144.9482
39.047,0.881261,0.886717,50.0807,52.1294,1.577791,1.595275,89.4308,92.0649,2.468796,2.46933,138.8889,146.8538
39.311,0.890444,0.886135,50.907,53.0528,1.576535,1.611754,90.9431,95.0844,2.471877,2.486795,142.2767,147.7294
39.575,0.883957,0.894903,51.9987,53.869,1.592793,1.601272,91.3726,97.0271,2.479963,2.519892,143.488,150.9609
39.839,0.881416,0.897771,52.3082,53.6612,1.591679,1.62357,94.6387,98.5071,2.485127,2.535061,146.0247,152.5292
40.104,0.900409,0.901229,52.9341,54.8779,1.603925,1.626984,95.149,99.0015,2.53803,2.56251,147.7953,154.2775
40.368,0.905183,0.909796,53.1886,55.7608,1.605637,1.645352,96.2373,100.2378,2.565348,2.568277,149.1688,156.6764
40.632,0.915075,0.921889,53.286,56.4754,1.610755,1.642641,98.5221,101.2969,2.559787,2.578229,153.859,159.1028
40.896,0.922166,0.929812,54.2769,57.1522,1.645748,1.646064,99.7737,102.8047,2.583186,2.595579,155.3816,160.8795
41.161,0.92567,0.93711,55.5085,57.9704,1.66438,1.657637,101.0756,103.377,2.607428,2.63548,157.3577,162.5594
41.425,0.941099,0.940828,56.1738,59.0674,1.665193,1.680016,101.0406,104.8034,2.58508,2.642695,158.1159,165.5771
41.689,0.94174,0.953042,57.048,59.3697,1.676366,1.702678,102.2834,106.2536,2.633471,2.65117,160.9648,168.2681
41.953,0.942675,0.951488,57.9014,59.9468,1.691439,1.701991,104.5003,108.4619,2.668018,2.689171,162.6376,170.1181
42.217,0.948091,0.953478,58.5201,61.032,1.70997,1.715276,105.01,109.3458,2.672486,2.69519,162.3166,171.5175
42.482,0.939779,0.962723,59.5703,61.7389,1.721509,1.744024,107.2795,111.43,2.686642,2.725579,165.4079,173.2508
42.746,0.95595,0.964015,59.8269,62.1525,1.729005,1.735039,108.8693,110.7272,2.690942,2.733868,168.755,173.8205
43.01,0.960912,0.972257,60.8197,63.8696,1.712298,1.750195,109.7164,113.7173,2.695678,2.752371,168.9235,178.8558
43.274,0.970982,0.982316,61.5052,64.3531,1.729068,1.774755,110.6806,115.0462,2.723642,2.771314,171.2938,179.4269
43.538,0.977777,0.988661,62.7321,64.8251,1.760061,1.77355,110.055,115.6212,2.733224,2.777475,174.9896,182.7452
43.803,0.974964,1.001206,63.0282,66.0888,1.774078,1.776922,111.6323,119.4114,2.779256,2.776336,175.4626,185.3287
44.067,0.992659,1.001806,62.8122,66.0618,1.782737,1.783544,113.5551,120.2183,2.790009,2.805217,179.9512,186.9797
44.331,1.010223,1.011457,63.8027,67.6067,1.790303,1.809164,114.9767,120.8782,2.84656,2.827935,179.7458,190.7869
44.595,1.023329,1.008908,65.2755,68.317,1.779099,1.839247,115.5018,121.2954,2.832474,2.833383,181.4898,191.1697
44.86,1.014453,1.017141,66.8137,68.9453,1.790396,1.842673,117.1217,123.1588,2.837468,2.852291,182.6626,193.4901
45.124,1.010394,1.028731,66.4834,69.5247,1.813057,1.835672,119.959,124.3747,2.835199,2.8305,190.0033,194.6906
45.388,1.028072,1.039042,67.8407,70.8284,1.840958,1.849232,119.8097,126.7995,2.88238,2.860722,187.8976,196.2678
45.652,1.024873,1.040736,69.1667,71.9425,1.850686,1.845379,120.5077,128.0335,2.913063,2.880629,190.2308,198.5889
45.916,1.033337,1.042073,69.8995,72.1191,1.863079,1.857166,122.172,129.2107,2.898878,2.914558,192.8128,204.4508
46.181,1.028717,1.042129,70.1702,73.327,1.867006,1.879375,124.5962,131.0633,2.924278,2.946638,195.3351,207.5466
46.445,1.048944,1.059218,70.7276,74.5054,1.863853,1.893112,127.4682,131.7783,2.925871,2.950182,195.6489,206.3817
46.709,1.061876,1.066238,70.7732,74.818,1.864273,1.89739,128.5152,132.8604,2.93686,2.969694,200.1526,210.2928
46.973,1.063099,1.06299,70.8501,75.2824,1.868534,1.908419,131.5402,136.6134,2.945867,2.992156,203.2185,211.873
47.237,1.059427,1.080414,71.8294,75.7838,1.865811,1.926753,131.0728,139.3001,2.97999,3.021855,202.5656,213.466
47.502,1.068333,1.07895,72.1463,77.4273,1.879586,1.934558,131.4495,138.6366,3.00029,3.023396,205.3064,215.886
47.766,1.061912,1.077486,73.4286,78.3271,1.893339,1.93004,131.3345,139.9214,3.03018,3.025281,208.2076,221.2336
48.03,1.059394,1.090675,74.9813,78.5624,1.918557,1.950344,131.9394,142.9121,3.008055,3.02736,208.2271,223.2359
48.294,1.080494,1.096968,76.3289,79.4265,1.913363,1.951376,134.7367,143.5591,3.006749,3.080775,211.463,223.9241
48.559,1.095773,1.108102,75.8719,80.3741,1.923758,1.973688,135.1219,144.7435,3.045639,3.095978,212.4057,225.6458
48.823,1.096194,1.109301,75.9755,81.76,1.945861,1.995136,138.1185,145.5047,3.093577,3.102103,213.9258,227.7126
49.087,1.091337,1.109642,78.3314,82.8883,1.972167,2.000656,137.9703,147.5972,3.05896,3.139908,215.9564,230.2923
49.351,1.101991,1.11053,78.6081,83.1758,1.97351,2.018712,140.2635,149.2433,3.111366,3.159977,220.9657,234.8876
49.615,1.107428,1.121989,79.3105,84.2304,1.99027,2.047206,141.9043,149.8596,3.099826,3.162578,224.3638,238.4114
49.88,1.130866,1.124577,81.3421,85.8074,2.005017,2.042164,142.0731,151.1613,3.11662,3.184228,228.4564,241.487
50.144,1.12449,1.138605,81.9472,86.1097,1.995458,2.05908,143.2194,153.5385,3.15732,3.185539,229.1263,241.4278
50.408,1.124039,1.146456,81.5439,86.6918,2.032371,2.060104,143.7557,156.063,3.158689,3.217724,230.3897,244.6683
50.672,1.138285,1.155961,83.9363,88.5132,2.001417,2.059727,148.6655,157.0559,3.147198,3.226468,231.3689,248.0348
50.936,1.14059,1.15349,84.3921,88.6038,2.000452,2.074398,148.8912,159.6845,3.176419,3.256718,235.6136,249.0437
51.201,1.138393,1.167338,84.2419,89.2778,2.035289,2.069616,148.4366,161.4896,3.187905,3.252993,235.1435,251.9263
51.465,1.142113,1.168149,85.964,90.3656,2.035455,2.091256,152.6469,162.5974,3.232687,3.309286,239.22,255.0894
51.729,1.157843,1.171282,86.1953,91.3596,2.054236,2.09933,152.4969,163.9094,3.273972,3.302935,240.3638,259.2195
51.993,1.170775,1.185737,87.2213,93.0285,2.077336,2.105546,154.8848,166.7565,3.266554,3.327604,238.6305,257.916
52.258,1.178581,1.188943,88.1333,93.7862,2.106565,2.120229,157.6417,168.6771,3.28991,3.318011,246.279,263.2577
52.522,1.180527,1.200416,89.4888,94.8649,2.106735,2.153361,160.7754,169.7544,3.341714,3.333843,251.0924,263.7701
52.786,1.186508,1.200031,90.1734,94.4656,2.095545,2.156551,163.0438,172.2855,3.318606,3.356857,254.8655,266.4004
53.05,1.174591,1.195169,89.8944,96.8629,2.118481,2.149808,162.4699,172.8746,3.377113,3.389865,254.4522,268.1183
53.314,1.202901,1.203648,92.0861,96.9469,2.148899,2.169448,164.3225,173.5763,3.319896,3.401642,255.5332,273.1811
53.579,1.187329,1.202352,92.1228,97.9628,2.156603,2.15882,167.0462,177.3158,3.312023,3.386054,261.822,276.9184
53.843,1.204795,1.217362,92.8769,99.3627,2.194901,2.186658,164.4143,178.1365,3.332026,3.435759,260.6317,277.6005
54.107,1.225187,1.235645,93.2782,100.2647,2.167402,2.193509,168.2049,178.8421,3.368907,3.431454,260.9099,280.2675
54.371,1.214777,1.243846,94.7397,100.3953,2.166072,2.210125,171.608,180.0088,3.404374,3.466094,264.2997,283.5876
54.635,1.212662,1.234145,95.316,101.8109,2.19362,2.216678,172.0526,183.0815,3.410761,3.445832,265.5239,286.0924
54.9,1.209589,1.246981,95.6409,102.7403,2.206103,2.22939,171.9773,185.3045,3.458504,3.484964,269.2782,289.4501
55.164,1.224412,1.256439,97.3102,104.4503,2.21006,2.233572,172.4544,187.156,3.494515,3.523417,268.6277,290.7632
55.428,1.236111,1.26315,96.813,105.9936,2.198772,2.248189,177.2623,187.3683,3.466052,3.531681,271.5905,295.0741
55.692,1.25819,1.265481,98.2552,107.1395,2.205203,2.249048,176.7184,190.7954,3.495976,3.544089,277.4227,296.3828
55.957,1.268477,1.275901,98.596,107.7393,2.237916,2.286168,178.6131,191.342,3.560932,3.57509,280.3181,301.3815
56.221,1.254639,1.292476,97.944,109.7093,2.248796,2.291955,182.3492,193.2169,3.579164,3.591926,280.4098,306.8432
56.485,1.265186,1.296671,100.0018,109.786,2.257676,2.306177,180.8213,193.358,3.516757,3.604545,283.8012,308.3312
56.749,1.279693,1.303033,103.5632,109.842,2.253774,2.321168,182.9769,197.7774,3.564207,3.644049,286.504,306.6461
57.013,1.298458,1.298447,105.3761,112.245,2.231966,2.328617,186.1812,200.9218,3.533903,3.628238,289.2048,310.4128
57.278,1.291918,1.306196,105.2773,113.7498,2.299489,2.328594,186.4594,201.3997,3.591144,3.643791,290.2869,314.2898
57.542,1.295013,1.302148,103.8934,114.7176,2.307778,2.339225,188.28,203.4151,3.604215,3.690469,295.6465,318.8326
57.806,1.289338,1.306434,104.0243,114.4384,2.295267,2.348287,189.2292,204.7973,3.617725,3.676668,297.8037,321.0955
