L_beam_mm,t_piezo_mm,w_beam_mm,N_TEG,a0_g,P_total_mW,MAE_K,Is_Pareto
31.19,0.29,20.17,204,2.34,150.76,0.669,1
56.93,0.326,19.51,160,2.49,120.066,1.114,0
28.56,0.358,10.76,99,1.93,74.671,1.232,0
26.79,0.289,13.48,58,1.59,43.7,1.383,0
45.88,0.477,13.8,178,1.66,130.633,0.873,0
48.77,0.465,10.86,59,1.63,43.585,1.343,0
42.68,0.474,9.96,66,1.27,47.912,1.381,0
31.3,0.179,12.85,184,0.7,136.623,0.894,0
60.71,0.393,20.94,164,1.13,123.023,1.095,0
29.29,0.239,18.5,174,1.44,130.695,0.916,0
37.76,0.16,9.13,189,2.28,140.64,1.017,0
48.66,0.414,14.4,217,1.54,166.197,1.1,0
55.43,0.543,11.81,129,1.39,98.578,0.976,0
26.82,0.283,20.88,151,1.12,117.012,0.937,0
43.82,0.356,16.74,66,2.34,48.125,1.425,0
32.82,0.445,9.15,72,2.3,54.641,1.327,0
33.98,0.362,15.76,218,0.73,167.155,0.802,1
54.03,0.433,10.48,127,2.19,92.99,1.217,0
44.06,0.224,16.94,143,1.96,105.338,0.962,0
35.03,0.506,8.44,202,1.53,156.427,0.821,0
52.35,0.213,9.59,192,1.9,142.577,1.011,0
51.9,0.52,19.71,84,1.21,61.682,1.251,0
47.59,0.458,20.92,69,1.99,50.261,1.282,0
35.72,0.506,19.84,215,0.9,162.075,0.746,1
51.37,0.171,21.11,194,0.96,143.809,0.939,0
29.41,0.284,16.28,173,1.94,130.071,1.049,0
44.67,0.358,10.24,211,1.84,160.326,1.075,0
54.86,0.453,12.5,178,0.92,132.926,1.061,0
61.02,0.437,16.97,101,2.17,76.07,1.209,0
27.98,0.248,19.04,154,0.85,113.114,0.962,0
32.97,0.496,19.69,62,1.63,45.53,1.401,0
45.41,0.163,19.91,194,0.63,140.505,0.905,0
44.68,0.268,9.59,76,0.57,56.475,1.176,0
38.13,0.511,17.64,140,1.95,102.358,1.02,0
60.81,0.479,17.95,149,1.02,109.926,1.019,0
64.49,0.217,14.64,52,2.36,39.332,1.583,0
60.99,0.507,12.12,137,1.38,101.66,1.194,0
58.43,0.306,12.12,76,1.57,55.065,1.161,0
40.78,0.16,9.61,84,1.24,63.334,1.141,0
53.86,0.321,17.8,162,0.7,123.268,1.016,0
63.14,0.53,13.88,83,1.29,60.204,1.454,0
58.66,0.525,17.04,75,1.85,59.438,1.337,0
35.56,0.456,14.64,191,1.78,141.023,0.812,0
52.59,0.24,12.22,59,2.39,44.684,1.326,0
32.22,0.228,20.73,106,2.01,78.582,1.09,0
48.5,0.21,10.8,164,2.03,119.347,0.936,0
44.07,0.253,21.68,196,1.2,144.586,0.861,0
27.68,0.172,11.36,183,2.4,135.127,0.943,0
39.1,0.519,20.88,80,2.23,58.613,1.156,0
61.9,0.454,19.11,68,1.76,52.194,1.424,0
41.34,0.521,20.61,100,1.19,74.935,1.159,0
38.13,0.308,16.4,142,2.15,106.986,0.903,0
41.86,0.506,15.6,216,0.77,156.414,0.837,0
57.22,0.543,16.6,156,1.95,114.845,1.061,0
35.98,0.424,19.23,81,1.82,59.843,1.124,0
52.55,0.44,18.05,120,0.52,90.583,1.028,0
61.44,0.309,8.65,172,1.17,133.045,0.997,0
31.65,0.503,20.98,163,1.74,119.481,1.159,0
55.69,0.349,11.09,154,1.54,113.619,0.867,0
48.26,0.241,8.67,138,2.16,104.1,1.09,0
26.17,0.167,10.3,83,1.66,59.068,1.355,0
28.17,0.319,21.82,121,1.9,90.382,1.048,0
47.24,0.211,8.68,138,0.91,101.52,1.034,0
38.97,0.286,19.31,180,0.86,134.639,0.964,0
64.48,0.418,11.21,170,2.26,128.018,0.849,0
38.79,0.461,8.14,166,0.58,127.538,0.876,0
53.49,0.352,20.05,82,2.37,62.702,1.277,0
62.07,0.362,11.03,60,2.46,45.234,1.452,0
58.29,0.311,19.38,89,2.46,67.389,1.236,0
50.82,0.28,12.88,89,1.99,66.497,1.132,0
38.18,0.186,11.63,102,2.04,74.814,1.281,0
54.91,0.348,13.52,155,1.64,113.738,0.869,0
33.15,0.393,15.35,139,0.84,103.702,0.922,0
43.12,0.507,21.67,84,1.4,61.296,1.267,0
59.34,0.489,21.49,137,2.08,103.954,1.082,0
38.73,0.4,21.3,206,1.11,153.752,0.897,0
52.44,0.332,12.71,102,1.08,78.201,1.206,0
32.45,0.216,21.06,66,0.84,47.869,1.327,0
62.01,0.315,19.19,196,1.42,143.677,0.961,0
52.24,0.399,16.86,85,1.43,63.405,1.231,0
28.12,0.215,10.9,186,0.75,138.691,0.877,0
58.14,0.252,17.38,168,2.35,124.257,0.808,0
29.35,0.431,18.29,57,2.32,41.007,1.326,0
47.2,0.522,19.83,152,1.12,112.259,0.859,0
39.93,0.385,21.32,100,0.5,73.422,1.157,0
51.1,0.312,16.57,55,1.54,39.103,1.499,0
35.91,0.271,21.15,179,2.4,132.267,0.937,0
51.37,0.413,9.73,154,0.67,114.741,1.033,0
42.8,0.188,9.17,169,1.27,126.872,0.909,0
42.38,0.365,11.85,158,2.15,115.457,0.806,0
33.2,0.45,15.77,84,1.89,60.48,1.209,0
30.33,0.237,13.73,158,0.67,113.583,1.256,0
54.81,0.259,16.45,208,0.97,152.334,0.985,0
52.11,0.171,19.49,69,1.53,50.994,1.342,0
47.18,0.372,17.18,135,2.48,101.081,1.104,0
56.12,0.485,15.44,86,2.4,64.134,1.016,0
53.03,0.455,19.69,149,2.04,112.608,0.967,0
56.13,0.307,9.91,86,1.88,63.594,1.259,0
53.47,0.425,13.2,194,2.4,144.15,0.919,0
61.74,0.488,16.56,83,2.09,60.104,1.325,0
56.86,0.167,19.74,212,1.08,155.207,1.088,0
40.7,0.214,18.23,152,2.48,114.769,1.038,0
49.75,0.338,19.68,139,0.86,100.866,1.063,0
40.69,0.368,16.12,130,2.37,99.239,0.987,0
42.57,0.398,21.24,83,1.12,62.138,1.251,0
35.29,0.537,8.68,133,1.68,99.183,0.886,0
63.29,0.335,15.64,205,0.94,151.36,0.91,0
43.38,0.152,15.49,57,1.07,44.466,1.367,0
36.7,0.232,9.1,212,2.08,156.261,0.936,0
37.14,0.348,12.08,179,1.48,128.354,0.991,0
25.76,0.509,21.01,112,0.74,80.332,1.226,0
54.09,0.302,21.53,170,0.76,124.699,0.891,0
27.04,0.443,15.52,200,0.63,150.878,1.022,0
64.51,0.391,16.08,68,1.9,49.712,1.422,0
44.88,0.284,19.17,57,1.77,42.721,1.163,0
60.26,0.25,10.49,124,0.6,93.094,1.052,0
43.09,0.508,13.0,111,0.96,83.546,1.364,0
45.94,0.425,13.89,105,0.71,79.549,1.109,0
59.1,0.264,8.93,73,0.62,54.711,1.358,0
28.92,0.365,12.92,156,1.18,118.738,0.881,0
27.79,0.303,10.4,136,1.67,100.79,1.32,0
56.57,0.371,18.65,151,2.21,109.495,1.03,0
39.35,0.43,9.28,88,2.14,64.709,1.214,0
37.1,0.509,11.23,146,1.39,108.371,1.1,0
25.81,0.204,16.51,218,2.14,165.029,0.91,0
38.72,0.515,10.44,214,1.43,160.612,0.987,0
44.75,0.447,8.77,155,2.07,113.432,0.959,0
27.84,0.214,10.3,198,0.51,145.815,0.8,0
47.8,0.432,16.87,162,0.56,120.319,0.965,0
37.34,0.47,20.22,115,1.29,84.502,1.058,0
53.16,0.238,21.85,203,1.77,146.908,1.033,0
26.79,0.37,14.05,193,1.05,146.864,0.987,0
49.79,0.208,12.04,52,0.84,39.34,1.379,0
52.4,0.454,8.57,68,1.52,50.408,1.182,0
39.8,0.178,11.56,129,1.22,96.737,0.983,0
26.27,0.278,15.36,194,1.0,143.962,0.926,0
58.7,0.34,13.9,118,0.58,88.41,1.136,0
39.66,0.236,15.2,106,2.44,81.605,1.179,0
42.72,0.221,19.67,85,2.48,61.951,1.2,0
59.85,0.31,10.91,108,2.1,80.463,1.185,0
52.29,0.453,18.04,175,1.81,130.899,0.881,0
64.31,0.243,13.17,159,2.3,123.188,1.148,0
62.73,0.504,14.74,205,2.31,156.445,1.002,0
26.89,0.414,15.82,149,2.07,110.642,0.979,0
62.05,0.288,9.06,91,2.37,69.214,1.103,0
55.6,0.344,17.35,62,2.18,47.482,1.516,0
47.68,0.477,9.59,107,1.1,79.714,1.202,0
25.88,0.223,19.29,186,2.03,138.011,1.049,0
39.77,0.178,15.3,146,1.12,107.678,0.942,0
60.66,0.319,21.86,128,1.71,93.16,1.077,0
37.64,0.415,20.52,95,1.52,71.921,1.227,0
56.94,0.372,18.73,111,1.48,83.234,1.041,0
31.93,0.496,10.08,146,2.37,109.345,1.167,0
51.98,0.516,20.78,55,0.73,39.985,1.56,0
48.36,0.416,9.7,109,1.99,80.258,0.939,0
55.01,0.528,17.2,209,2.19,156.068,0.798,0
52.37,0.395,13.32,191,1.02,142.49,0.778,0
55.28,0.331,11.15,114,2.28,84.415,1.07,0
34.42,0.351,8.09,151,0.69,112.475,0.996,0
30.89,0.282,10.13,174,1.53,129.512,0.959,0
58.62,0.405,20.64,211,1.64,160.875,0.889,0
64.22,0.437,11.04,94,1.12,69.11,1.101,0
58.52,0.279,21.64,51,1.27,36.797,1.652,0
44.87,0.449,19.95,197,1.21,147.63,0.822,0
42.49,0.174,16.22,93,1.44,69.293,1.141,0
27.73,0.331,11.88,143,2.17,103.151,1.093,0
36.06,0.354,16.3,107,1.79,77.667,1.064,0
49.31,0.436,21.41,60,1.1,44.227,1.204,0
29.51,0.28,13.79,158,1.31,118.735,1.022,0
40.76,0.263,15.27,153,2.11,115.943,0.937,0
50.86,0.339,14.01,61,0.83,44.921,1.409,0
45.03,0.386,15.55,126,2.03,94.4,0.755,0
39.27,0.469,12.21,118,2.48,88.432,1.19,0
62.72,0.423,12.86,170,0.59,128.935,1.158,0
25.65,0.438,11.56,78,2.16,59.195,1.326,0
56.97,0.524,12.14,158,0.76,122.209,0.933,0
38.71,0.29,8.68,72,1.72,53.796,1.365,0
30.43,0.294,16.1,61,2.08,45.554,1.626,0
54.97,0.464,20.82,135,1.12,101.349,1.002,0
60.48,0.435,9.8,203,1.78,155.524,0.873,0
64.8,0.304,13.21,161,1.27,118.304,1.089,0
31.71,0.496,17.01,152,0.81,112.654,1.165,0
43.04,0.372,19.23,82,2.16,62.023,1.283,0
53.6,0.387,18.0,72,1.95,52.029,1.372,0
57.92,0.23,21.73,82,1.23,59.943,1.305,0
56.14,0.287,12.02,95,0.82,70.958,1.237,0
50.43,0.507,10.15,195,1.53,147.284,0.953,0
46.07,0.283,21.13,130,1.65,98.446,1.161,0
54.04,0.203,10.37,54,1.75,38.228,1.502,0
40.53,0.368,8.89,127,2.03,92.438,1.028,0
28.84,0.248,8.54,202,1.21,153.531,0.921,0
28.72,0.183,13.3,93,0.71,70.778,1.016,0
43.46,0.443,12.19,125,2.32,92.388,1.079,0
50.5,0.197,17.7,203,2.16,150.642,0.861,0
64.48,0.533,15.1,143,2.39,106.847,0.966,0
41.89,0.238,21.17,53,0.66,39.124,1.332,0
59.88,0.505,14.49,117,1.57,86.958,1.094,0
28.97,0.455,16.81,143,1.18,104.801,1.22,0
62.89,0.449,19.02,88,1.68,66.29,1.236,0
64.02,0.537,17.77,77,1.26,57.784,1.574,0
28.63,0.304,9.83,151,2.21,109.588,1.017,0
43.14,0.349,12.16,215,1.66,156.87,0.731,0
52.04,0.406,8.45,125,1.66,92.88,1.073,0
44.26,0.365,17.46,95,1.89,71.656,1.141,0
59.51,0.344,10.73,165,1.41,124.714,1.124,0
34.52,0.488,18.2,129,1.61,95.52,1.024,0
49.84,0.523,21.87,52,1.02,38.873,1.591,0
48.2,0.219,10.9,200,2.49,150.1,0.752,0
49.0,0.409,19.33,151,1.87,113.882,0.898,0
57.32,0.213,12.38,173,2.22,127.409,1.072,0
59.44,0.425,21.03,56,2.07,40.957,1.597,0
55.33,0.167,21.96,218,0.91,160.05,0.852,0
61.45,0.177,11.45,114,0.93,84.854,1.02,0
42.92,0.268,20.85,62,0.56,47.155,1.356,0
40.68,0.289,21.3,106,1.79,81.099,1.124,0
47.98,0.445,9.39,191,2.05,140.689,0.884,0
63.64,0.266,15.13,212,2.46,160.278,0.834,0
37.03,0.239,10.04,127,2.01,93.491,1.108,0
61.43,0.332,16.97,188,0.79,144.099,0.777,0
63.64,0.499,18.13,120,2.04,91.733,1.142,0
59.74,0.266,17.74,215,0.83,162.074,0.804,0
53.11,0.426,11.66,121,0.73,93.981,0.959,0
30.1,0.474,21.21,197,1.86,148.954,1.104,0
48.14,0.309,11.18,156,2.42,121.954,1.03,0
60.76,0.485,21.67,190,1.46,141.886,0.828,0
53.91,0.507,14.9,204,1.64,153.195,0.807,0
49.89,0.459,11.22,109,1.07,81.057,1.161,0
62.61,0.474,19.07,112,1.92,83.942,1.065,0
47.72,0.162,13.13,115,2.32,86.255,1.273,0
28.2,0.305,14.93,203,1.39,150.854,0.916,0
30.21,0.467,14.26,68,1.83,51.248,1.396,0
26.37,0.528,13.94,181,1.36,136.505,0.777,0
58.84,0.471,10.64,125,2.07,94.565,0.924,0
27.15,0.323,8.9,135,1.58,100.69,1.049,0
39.23,0.179,16.89,156,1.9,114.633,1.056,0
50.81,0.277,9.82,212,0.64,158.097,0.946,0
35.08,0.527,14.74,172,1.22,131.429,1.188,0
45.08,0.172,13.05,91,1.37,68.195,1.318,0
34.17,0.22,12.68,159,1.14,122.611,0.904,0
30.75,0.174,18.64,211,1.78,155.952,0.838,0
34.69,0.25,10.35,203,1.96,148.185,0.868,0
46.23,0.194,9.4,145,1.67,107.332,1.116,0
25.29,0.255,14.98,123,1.72,91.234,1.211,0
62.11,0.292,10.42,83,1.66,61.92,1.154,0
42.95,0.414,17.91,125,2.25,92.407,1.178,0
27.8,0.285,16.6,90,0.65,65.807,1.197,0
57.52,0.513,14.37,128,0.78,95.826,1.23,0
30.33,0.338,10.35,201,1.28,146.114,0.826,0
47.6,0.417,11.7,64,1.09,48.698,1.263,0
53.4,0.205,14.09,161,1.74,121.353,0.901,0
25.37,0.178,15.02,201,0.91,150.665,0.881,0
59.5,0.433,20.81,186,2.18,138.481,0.834,0
33.55,0.528,10.79,68,1.88,51.947,1.411,0
43.93,0.234,19.85,117,2.23,88.181,1.179,0
39.07,0.163,16.28,60,1.02,44.38,1.294,0
51.18,0.367,13.53,118,0.86,89.086,1.208,0
58.5,0.39,11.05,189,1.35,141.997,1.005,0
25.23,0.198,14.44,213,0.53,158.495,0.977,0
56.38,0.476,19.88,116,2.48,83.001,1.251,0
40.95,0.433,17.84,98,0.59,72.949,1.105,0
30.19,0.217,21.88,64,0.64,48.786,1.332,0
40.41,0.374,9.21,65,1.9,48.084,1.297,0
28.35,0.362,20.09,208,0.68,152.644,0.805,0
63.54,0.422,20.8,121,2.42,87.701,1.166,0
54.01,0.504,17.34,139,2.22,105.357,0.867,0
39.26,0.184,14.83,130,1.18,97.847,1.18,0
53.69,0.292,15.64,63,1.02,47.706,1.244,0
31.86,0.444,17.65,150,1.03,113.709,1.038,0
34.17,0.339,17.29,120,1.3,87.308,1.195,0
62.04,0.22,15.65,120,1.95,87.519,1.101,0
56.71,0.498,15.55,166,0.56,120.858,1.073,0
50.01,0.183,9.69,151,2.3,114.322,1.028,0
61.87,0.455,14.55,70,2.09,52.381,1.217,0
45.94,0.3,12.89,133,2.29,96.921,0.965,0
49.95,0.155,13.17,118,1.75,90.637,1.172,0
43.79,0.305,12.8,91,0.81,68.116,1.184,0
27.9,0.151,10.54,89,2.33,64.814,1.359,0
34.51,0.452,9.76,69,0.82,52.668,1.357,0
42.44,0.451,20.2,147,2.27,111.025,1.054,0
50.47,0.172,20.71,208,2.3,149.893,1.046,0
26.94,0.355,8.54,132,1.55,98.966,1.13,0
33.12,0.286,20.76,182,2.17,135.429,0.96,0
28.63,0.52,15.69,85,1.89,64.951,1.18,0
