Frequency_Hz,Power_mW_L=30mm,Power_mW_L=40mm,Power_mW_L=50mm,Power_mW_L=60mm
44.391,0.00011,0.01959,0.00494,0.00258
44.716,0.00011,0.02436,0.00479,0.00251
45.042,0.00012,0.03066,0.00472,0.00261
45.367,0.00013,0.03948,0.00452,0.0025
45.693,0.00013,0.05269,0.00422,0.00244
46.018,0.00014,0.07224,0.00404,0.00241
46.344,0.00015,0.10602,0.00392,0.00237
46.669,0.00015,0.16246,0.00391,0.00239
46.995,0.00016,0.28586,0.0038,0.0023
47.321,0.00016,0.58673,0.00371,0.00226
47.646,0.00017,1.44839,0.00352,0.00221
47.972,0.00018,3.17064,0.00333,0.00224
48.297,0.00019,1.74124,0.00328,0.00222
48.623,0.0002,0.69822,0.00325,0.00214
48.948,0.00021,0.34959,0.00323,0.00212
49.274,0.00022,0.20826,0.00314,0.00215
49.599,0.00022,0.13482,0.00307,0.00219
49.925,0.00024,0.09588,0.00294,0.00218
50.25,0.00025,0.07308,0.00286,0.00217
50.576,0.00026,0.0573,0.00281,0.00215
50.902,0.00028,0.04626,0.00273,0.00208
51.227,0.00029,0.03803,0.00271,0.00206
51.553,0.0003,0.03142,0.00266,0.00207
51.878,0.00031,0.02709,0.00255,0.00201
52.204,0.00033,0.02415,0.0026,0.00202
52.529,0.00035,0.02088,0.00248,0.00208
52.855,0.00037,0.01877,0.00249,0.00199
53.18,0.00038,0.01658,0.0024,0.00203
53.506,0.00041,0.01515,0.00237,0.00194
53.831,0.00043,0.01394,0.00233,0.00197
54.157,0.00045,0.0124,0.00222,0.00188
54.482,0.00047,0.01149,0.00224,0.00185
54.808,0.0005,0.01028,0.00217,0.00191
55.134,0.00052,0.00951,0.00207,0.00196
55.459,0.00055,0.00898,0.00216,0.00194
55.785,0.00059,0.00851,0.00211,0.00192
56.11,0.00063,0.00796,0.00202,0.00193
56.436,0.00064,0.0075,0.00215,0.00191
56.761,0.00068,0.00712,0.00211,0.00187
57.087,0.00072,0.0067,0.00204,0.00186
57.412,0.00075,0.00638,0.00197,0.00184
57.738,0.00078,0.00611,0.00198,0.00184
58.063,0.00082,0.00573,0.00187,0.00183
58.389,0.00089,0.00535,0.00186,0.00177
58.715,0.00094,0.00508,0.00186,0.00178
59.04,0.00101,0.00489,0.00188,0.00175
59.366,0.00107,0.0046,0.0019,0.00171
59.691,0.00115,0.00456,0.00187,0.00178
60.017,0.00124,0.00449,0.00185,0.00173
60.342,0.00129,0.00423,0.00179,0.00177
60.668,0.00137,0.00402,0.00177,0.00177
60.993,0.00149,0.00402,0.00181,0.00176
61.319,0.00156,0.00384,0.00178,0.00175
61.644,0.00171,0.00371,0.00174,0.00168
61.97,0.00185,0.00362,0.00174,0.00176
62.295,0.00194,0.00349,0.0017,0.00175
62.621,0.00207,0.00337,0.0017,0.00173
62.947,0.00222,0.0033,0.00166,0.00168
63.272,0.00235,0.00318,0.00172,0.00171
63.598,0.00261,0.00307,0.00163,0.00165
63.923,0.00271,0.00295,0.00163,0.00168
64.249,0.00296,0.00292,0.00163,0.00167
64.574,0.00321,0.00281,0.00166,0.00161
64.9,0.00358,0.00275,0.00158,0.00166
65.225,0.00385,0.00279,0.00156,0.00163
65.551,0.0041,0.00266,0.00157,0.00162
65.876,0.00455,0.00269,0.00159,0.00159
66.202,0.005,0.00261,0.00164,0.00155
66.528,0.00557,0.00257,0.00156,0.00157
66.853,0.00595,0.00249,0.00153,0.00156
67.179,0.00672,0.00235,0.00159,0.00155
67.504,0.00752,0.00232,0.00154,0.00142
67.83,0.00825,0.00224,0.00149,0.00154
68.155,0.00915,0.00221,0.0015,0.00157
68.481,0.0103,0.00225,0.00149,0.00156
68.806,0.01189,0.00218,0.00145,0.00154
69.132,0.01361,0.00211,0.00148,0.00158
69.457,0.01542,0.00209,0.00148,0.00154
69.783,0.01802,0.00206,0.00145,0.00152
70.109,0.0212,0.00205,0.00147,0.00148
70.434,0.02465,0.00204,0.0014,0.00157
70.76,0.02972,0.00195,0.00141,0.00154
71.085,0.03552,0.0019,0.00141,0.00157
71.411,0.04353,0.00185,0.00145,0.00156
71.736,0.0547,0.00189,0.0014,0.0015
72.062,0.07075,0.00192,0.00141,0.00152
72.387,0.09196,0.00184,0.00141,0.00153
72.713,0.12727,0.0018,0.00141,0.00156
73.038,0.18315,0.00177,0.0014,0.00153
73.364,0.29247,0.00174,0.00139,0.00152
73.689,0.50715,0.00171,0.00136,0.0015
74.015,0.96676,0.00171,0.00137,0.00151
74.341,1.74938,0.0017,0.00137,0.00151
74.666,1.91909,0.00169,0.00139,0.00149
74.992,1.10756,0.00165,0.00132,0.00153
75.317,0.58892,0.00164,0.00131,0.00149
75.643,0.34833,0.00159,0.00132,0.00157
75.968,0.22465,0.00156,0.00133,0.00152
76.294,0.16131,0.00159,0.00133,0.00145
76.619,0.1163,0.00153,0.00129,0.00144
76.945,0.08892,0.00149,0.00127,0.00148
77.27,0.07097,0.00148,0.00128,0.00148
77.596,0.05804,0.00148,0.00133,0.00147
77.922,0.04832,0.0015,0.00128,0.00146
78.247,0.04037,0.00147,0.00124,0.00149
78.573,0.035,0.00149,0.00126,0.00147
78.898,0.03054,0.00148,0.00127,0.00144
79.224,0.02699,0.00145,0.00128,0.00147
79.549,0.02376,0.00146,0.00121,0.00142
79.875,0.02143,0.00141,0.00118,0.00142
80.2,0.01886,0.00134,0.00125,0.00144
80.526,0.01746,0.00137,0.00122,0.00142
80.851,0.01596,0.00136,0.00126,0.0015
81.177,0.01455,0.00139,0.00124,0.00146
81.503,0.01339,0.00139,0.00124,0.00141
81.828,0.01244,0.00136,0.00121,0.00142
82.154,0.01155,0.00132,0.00122,0.00142
82.479,0.01052,0.00135,0.00117,0.00141
82.805,0.00999,0.00132,0.00119,0.00144
83.13,0.00932,0.00134,0.00121,0.00145
83.456,0.00884,0.0013,0.00122,0.00143
83.781,0.00828,0.00126,0.0012,0.00144
84.107,0.00768,0.00128,0.00121,0.00149
84.432,0.0072,0.00126,0.00125,0.00146
84.758,0.00693,0.00124,0.00122,0.00143
85.083,0.00667,0.00127,0.00118,0.00142
85.409,0.00619,0.00124,0.00119,0.00143
85.735,0.00592,0.00122,0.00117,0.00144
86.06,0.00576,0.00121,0.00121,0.00146
86.386,0.00546,0.00119,0.00119,0.00144
86.711,0.00534,0.00118,0.00117,0.00146
87.037,0.0051,0.00118,0.00115,0.00145
87.362,0.00492,0.00118,0.00112,0.00147
87.688,0.00463,0.00117,0.00116,0.00137
88.013,0.00456,0.00112,0.00113,0.00137
88.339,0.00438,0.00114,0.00116,0.00139
88.664,0.0042,0.00121,0.00118,0.00137
88.99,0.00406,0.00116,0.00117,0.00138
89.316,0.00391,0.00114,0.00115,0.00138
89.641,0.00383,0.00113,0.00118,0.00144
89.967,0.00366,0.00114,0.00116,0.00138
90.292,0.00352,0.00115,0.00116,0.00137
90.618,0.00341,0.00112,0.00114,0.00139
90.943,0.00332,0.00113,0.00118,0.00135
91.269,0.00323,0.0011,0.00115,0.0014
91.594,0.00306,0.00108,0.00115,0.00138
91.92,0.00306,0.0011,0.00116,0.00139
92.245,0.00294,0.00108,0.00111,0.00133
92.571,0.00286,0.00108,0.00112,0.00135
92.896,0.00279,0.00111,0.00116,0.00135
93.222,0.00276,0.00108,0.0011,0.00139
93.548,0.00262,0.00104,0.0011,0.00134
93.873,0.00255,0.00106,0.00113,0.00137
94.199,0.00261,0.00103,0.00113,0.00139
94.524,0.00256,0.00102,0.00113,0.00138
94.85,0.00252,0.00105,0.00111,0.00138
95.175,0.00241,0.00102,0.00111,0.00139
95.501,0.00238,0.00102,0.00111,0.00138
95.826,0.0023,0.00101,0.00111,0.00137
96.152,0.00224,0.00104,0.00108,0.00135
96.477,0.00215,0.00102,0.00108,0.00133
96.803,0.00213,0.00102,0.00109,0.00139
97.129,0.0021,0.00099,0.00106,0.00135
97.454,0.00201,0.00102,0.0011,0.00141
97.78,0.00199,0.00102,0.00106,0.00138
98.105,0.00197,0.00101,0.00108,0.00142
98.431,0.00192,0.00099,0.00111,0.0014
98.756,0.00193,0.00099,0.00111,0.00138
99.082,0.00189,0.001,0.00109,0.00139
99.407,0.00187,0.00099,0.00107,0.00141
99.733,0.00186,0.00096,0.00108,0.00142
100.058,0.00182,0.00096,0.00107,0.00137
100.384,0.00175,0.00095,0.00106,0.00142
100.71,0.00175,0.00096,0.00106,0.00136
101.035,0.00171,0.00093,0.00106,0.0014
101.361,0.00165,0.00095,0.00105,0.00139
101.686,0.00165,0.00096,0.00104,0.00136
102.012,0.00165,0.00097,0.00106,0.00134
102.337,0.00163,0.00096,0.00106,0.00137
102.663,0.00157,0.00095,0.00108,0.0014
102.988,0.00156,0.00095,0.0011,0.00139
103.314,0.00157,0.00095,0.0011,0.00139
103.639,0.00153,0.00095,0.0011,0.00132
103.965,0.00151,0.00092,0.00109,0.00137
104.29,0.00149,0.00091,0.00108,0.00135
104.616,0.00148,0.00089,0.00106,0.0013
104.942,0.00148,0.00091,0.00105,0.00135
105.267,0.00145,0.00093,0.00103,0.00139
105.593,0.0014,0.00094,0.00103,0.00136
105.918,0.00138,0.0009,0.00107,0.00137
106.244,0.00138,0.00093,0.00107,0.00132
106.569,0.00133,0.0009,0.00106,0.0013
106.895,0.00134,0.00087,0.00106,0.00131
107.22,0.00133,0.0009,0.00103,0.00129
107.546,0.00133,0.0009,0.00106,0.00137
107.871,0.00131,0.00087,0.00106,0.00135
108.197,0.00129,0.00086,0.00105,0.00132
108.523,0.00127,0.00086,0.00102,0.0013
108.848,0.00125,0.00085,0.00103,0.00131
109.174,0.00126,0.00087,0.00106,0.00131
109.499,0.00124,0.00091,0.00105,0.00128
109.825,0.00123,0.00092,0.00105,0.0013
110.15,0.00124,0.00087,0.00105,0.00135
110.476,0.00124,0.00087,0.00101,0.00137
110.801,0.00123,0.00087,0.00101,0.00139
111.127,0.00119,0.00084,0.00102,0.00139
111.452,0.00115,0.00083,0.00104,0.00137
111.778,0.00115,0.00084,0.00103,0.00132
112.104,0.00114,0.00083,0.00104,0.00135
112.429,0.00113,0.00086,0.00105,0.00134
112.755,0.00112,0.00084,0.00102,0.00135
113.08,0.00111,0.00084,0.00103,0.0014
113.406,0.00108,0.00086,0.00098,0.00139
113.731,0.00109,0.00085,0.00101,0.00141
114.057,0.00111,0.00085,0.00101,0.00135
114.382,0.00112,0.00084,0.00101,0.00132
114.708,0.00109,0.00084,0.001,0.00134
115.033,0.00108,0.00084,0.00101,0.00136
115.359,0.00105,0.00082,0.001,0.00136
115.684,0.00104,0.00086,0.001,0.00136
116.01,0.00106,0.00082,0.00099,0.0014
116.336,0.00104,0.00083,0.00101,0.00138
116.661,0.00104,0.00082,0.00098,0.00134
116.987,0.00102,0.00083,0.00097,0.00134
117.312,0.00102,0.00084,0.00103,0.00138
117.638,0.00101,0.00082,0.00103,0.00137
117.963,0.00101,0.0008,0.00104,0.00136
118.289,0.00098,0.00083,0.00101,0.00131
118.614,0.00097,0.00081,0.00099,0.00136
118.94,0.001,0.00079,0.00101,0.00136
119.265,0.00097,0.00079,0.00104,0.00141
119.591,0.00098,0.00081,0.00098,0.0014
119.917,0.00096,0.0008,0.00097,0.00143
120.242,0.00093,0.00083,0.00095,0.00136
120.568,0.00092,0.00082,0.00096,0.00135
120.893,0.00091,0.0008,0.00098,0.00134
121.219,0.00089,0.00081,0.00101,0.0014
121.544,0.0009,0.00081,0.00101,0.00139
121.87,0.0009,0.00081,0.001,0.00138
122.195,0.00088,0.00083,0.00099,0.00136
122.521,0.00088,0.0008,0.00099,0.00139
122.846,0.00088,0.0008,0.00095,0.00135
123.172,0.00089,0.0008,0.00098,0.00133
123.497,0.00089,0.0008,0.00097,0.00134
123.823,0.00088,0.00078,0.00097,0.00134
124.149,0.00089,0.00077,0.00099,0.00136
124.474,0.00088,0.00075,0.001,0.00132
124.8,0.00087,0.00079,0.00101,0.00134
125.125,0.00085,0.00076,0.00099,0.0014
125.451,0.00084,0.00078,0.00098,0.00145
125.776,0.00084,0.00079,0.00099,0.00138
126.102,0.00084,0.00079,0.00098,0.0014
126.427,0.00086,0.00078,0.00096,0.00142
126.753,0.00085,0.0008,0.001,0.00138
127.078,0.00084,0.00079,0.00098,0.00139
127.404,0.00083,0.00076,0.00095,0.00141
127.73,0.00083,0.00077,0.00094,0.0014
128.055,0.00084,0.00078,0.00096,0.0014
128.381,0.00081,0.00077,0.001,0.00143
128.706,0.00082,0.00079,0.00101,0.00138
129.032,0.00079,0.00079,0.001,0.00141
129.357,0.0008,0.00078,0.00097,0.00139
129.683,0.00081,0.00075,0.00098,0.00145
130.008,0.00081,0.00078,0.001,0.00146
130.334,0.00081,0.00078,0.00097,0.00147
130.659,0.00078,0.00079,0.00097,0.00143
130.985,0.00077,0.00078,0.00096,0.00146
131.311,0.00079,0.00077,0.00101,0.00141
131.636,0.00079,0.00077,0.00101,0.00142
131.962,0.00077,0.00078,0.001,0.00143
132.287,0.00076,0.00077,0.00102,0.00145
132.613,0.00077,0.00076,0.001,0.00145
132.938,0.00076,0.00075,0.00099,0.00145
133.264,0.00076,0.00074,0.00101,0.00151
133.589,0.00075,0.00076,0.00099,0.00153
133.915,0.00075,0.00076,0.00095,0.00155
134.24,0.00076,0.00075,0.00099,0.00158
134.566,0.00075,0.00075,0.00097,0.00147
134.891,0.00075,0.00073,0.001,0.00149
135.217,0.00074,0.00074,0.00094,0.00157
135.543,0.00076,0.00074,0.00098,0.00159
135.868,0.00075,0.00076,0.00098,0.00159
136.194,0.00075,0.00077,0.00097,0.00154
136.519,0.00072,0.00075,0.00096,0.00154
136.845,0.00071,0.00076,0.00098,0.00156
137.17,0.00071,0.00072,0.00097,0.00161
137.496,0.00071,0.00072,0.00098,0.00157
137.821,0.00069,0.00073,0.00097,0.0016
138.147,0.0007,0.00073,0.00097,0.00156
138.472,0.00072,0.00076,0.00098,0.0016
138.798,0.00071,0.00074,0.00095,0.00162
139.124,0.00071,0.00074,0.00096,0.0016
139.449,0.00071,0.00075,0.00097,0.00173
139.775,0.0007,0.00074,0.00096,0.00171
140.1,0.00071,0.0007,0.001,0.00181
140.426,0.0007,0.00073,0.00096,0.00181
140.751,0.0007,0.0007,0.00096,0.00176
141.077,0.00068,0.00072,0.00095,0.00178
141.402,0.00068,0.00076,0.00098,0.00175
141.728,0.00069,0.00073,0.00098,0.00177
142.053,0.00068,0.00074,0.00101,0.00183
142.379,0.00067,0.00072,0.00097,0.00186
142.705,0.00066,0.00072,0.00095,0.0019
143.03,0.00067,0.00073,0.00096,0.00193
143.356,0.00067,0.00074,0.00097,0.002
143.681,0.00068,0.00073,0.00098,0.00201
144.007,0.00068,0.00073,0.00099,0.00205
144.332,0.00069,0.00069,0.00096,0.00201
144.658,0.00067,0.00071,0.00096,0.002
144.983,0.00067,0.0007,0.00096,0.00209
145.309,0.00067,0.00072,0.00099,0.00212
145.634,0.00066,0.00072,0.00095,0.00216
145.96,0.00065,0.00074,0.00098,0.00226
146.285,0.00066,0.0007,0.00096,0.00226
146.611,0.00065,0.00071,0.00097,0.00228
146.937,0.00064,0.00074,0.00097,0.00231
147.262,0.00064,0.00073,0.00097,0.00248
147.588,0.00063,0.00071,0.00093,0.0025
147.913,0.00064,0.0007,0.00093,0.00253
148.239,0.00065,0.00072,0.00097,0.00266
148.564,0.00065,0.00074,0.00093,0.00272
148.89,0.00063,0.00071,0.00098,0.00287
149.215,0.00062,0.00072,0.00099,0.00297
149.541,0.00061,0.00072,0.00096,0.00305
149.866,0.00062,0.00072,0.00099,0.00313
150.192,0.00062,0.00072,0.00097,0.00327
150.518,0.00061,0.0007,0.00096,0.00349
150.843,0.00061,0.0007,0.001,0.00362
151.169,0.0006,0.0007,0.001,0.00382
151.494,0.00061,0.00072,0.00097,0.00406
151.82,0.00062,0.00075,0.00097,0.00413
152.145,0.00062,0.00072,0.00099,0.00442
152.471,0.00063,0.00072,0.00098,0.0045
152.796,0.00063,0.00071,0.00097,0.0049
153.122,0.00061,0.00069,0.00095,0.00534
153.447,0.00063,0.0007,0.00096,0.00573
153.773,0.00062,0.00071,0.00099,0.00594
154.098,0.0006,0.0007,0.00098,0.00645
154.424,0.0006,0.00071,0.00097,0.00697
154.75,0.0006,0.00071,0.00098,0.00764
155.075,0.0006,0.00071,0.00097,0.00834
155.401,0.0006,0.00071,0.00099,0.00904
155.726,0.00061,0.00071,0.00098,0.00997
156.052,0.00061,0.0007,0.00097,0.01121
156.377,0.0006,0.00071,0.00094,0.01268
156.703,0.0006,0.00074,0.00099,0.01394
157.028,0.0006,0.00073,0.00097,0.01553
157.354,0.0006,0.00072,0.00098,0.01754
157.679,0.00059,0.0007,0.00098,0.02027
158.005,0.0006,0.00066,0.00097,0.02365
158.331,0.00059,0.00067,0.001,0.02727
158.656,0.00059,0.00069,0.00095,0.03211
158.982,0.00058,0.00069,0.00097,0.03848
159.307,0.00058,0.00068,0.00097,0.04446
159.633,0.00058,0.00069,0.00097,0.05134
159.958,0.00059,0.00069,0.00095,0.05983
160.284,0.00059,0.00068,0.00097,0.06572
160.609,0.00059,0.00069,0.00099,0.07027
160.935,0.00058,0.00068,0.00096,0.07194
161.26,0.00058,0.00067,0.00099,0.07087
161.586,0.00057,0.00067,0.00098,0.06553
161.912,0.00056,0.00068,0.00098,0.06035
162.237,0.00056,0.00068,0.00098,0.0517
162.563,0.00057,0.00072,0.00096,0.04467
162.888,0.00059,0.0007,0.00103,0.03906
163.214,0.00058,0.00069,0.00104,0.03507
163.539,0.00058,0.0007,0.00099,0.02995
163.865,0.00057,0.00068,0.00095,0.02631
164.19,0.00057,0.00068,0.001,0.02197
164.516,0.00056,0.0007,0.001,0.01977
164.841,0.00056,0.00071,0.00098,0.01763
165.167,0.00057,0.00069,0.00098,0.01575
165.492,0.00055,0.0007,0.00098,0.01405
165.818,0.00057,0.00068,0.001,0.01253
166.144,0.00056,0.00069,0.001,0.01146
166.469,0.00055,0.00069,0.00097,0.01015
166.795,0.00055,0.00068,0.00099,0.00948
167.12,0.00055,0.00068,0.00097,0.00872
167.446,0.00056,0.0007,0.001,0.00845
167.771,0.00055,0.00069,0.001,0.00769
168.097,0.00056,0.00071,0.00099,0.00734
168.422,0.00055,0.00069,0.001,0.00701
168.748,0.00056,0.00067,0.001,0.00644
169.073,0.00055,0.00067,0.001,0.00598
169.399,0.00057,0.00068,0.00101,0.00575
169.725,0.00056,0.00068,0.00102,0.00559
170.05,0.00055,0.00071,0.00103,0.00529
170.376,0.00056,0.00069,0.00105,0.00501
170.701,0.00055,0.00068,0.00103,0.00508
171.027,0.00054,0.00067,0.001,0.00473
171.352,0.00054,0.00068,0.00103,0.00445
171.678,0.00053,0.00069,0.00105,0.00433
172.003,0.00053,0.00069,0.00105,0.00416
172.329,0.00054,0.00065,0.00101,0.00405
172.654,0.00054,0.00068,0.00103,0.00374
172.98,0.00053,0.00069,0.00102,0.00366
173.306,0.00054,0.00068,0.00103,0.00363
173.631,0.00053,0.00067,0.00104,0.00344
173.957,0.00054,0.00066,0.00104,0.00342
174.282,0.00054,0.00065,0.00104,0.00334
174.608,0.00054,0.00067,0.00102,0.00326
174.933,0.00052,0.00066,0.00106,0.00309
175.259,0.00053,0.00066,0.00104,0.00296
175.584,0.00054,0.00066,0.00107,0.00289
175.91,0.00054,0.00067,0.00107,0.00284
176.235,0.00054,0.00067,0.00108,0.00285
176.561,0.00053,0.00067,0.00105,0.00277
176.886,0.00053,0.00068,0.00105,0.0027
177.212,0.00051,0.00068,0.00106,0.00256
177.538,0.00052,0.00068,0.00106,0.00252
177.863,0.00052,0.00066,0.00107,0.00254
178.189,0.00051,0.00067,0.00106,0.00243
178.514,0.00051,0.00066,0.00108,0.00246
178.84,0.00051,0.00067,0.00108,0.00245
179.165,0.00051,0.00067,0.00109,0.00252
179.491,0.00051,0.00067,0.00108,0.0024
179.816,0.00051,0.00068,0.0011,0.00244
180.142,0.00052,0.00067,0.00112,0.00242
180.467,0.00051,0.00067,0.0011,0.00234
180.793,0.00051,0.00067,0.00113,0.00226
181.119,0.00051,0.00067,0.00111,0.00222
181.444,0.00051,0.00066,0.00111,0.00216
181.77,0.00052,0.00066,0.00112,0.00214
182.095,0.00051,0.00067,0.00113,0.00215
182.421,0.00051,0.00068,0.00117,0.00219
182.746,0.00051,0.00069,0.00114,0.00207
183.072,0.00051,0.0007,0.00113,0.00208
183.397,0.00051,0.00068,0.00115,0.0021
183.723,0.00051,0.00067,0.00116,0.00203
184.048,0.00049,0.00067,0.00116,0.00201
184.374,0.0005,0.00068,0.0012,0.00196
184.699,0.0005,0.00067,0.00119,0.00197
185.025,0.00051,0.00066,0.00119,0.00193
185.351,0.00052,0.00066,0.00118,0.00195
185.676,0.00053,0.00067,0.00124,0.00195
186.002,0.00051,0.00067,0.00124,0.00192
186.327,0.00051,0.00067,0.00122,0.00188
186.653,0.00051,0.00065,0.00127,0.00187
186.978,0.0005,0.00065,0.0013,0.00184
187.304,0.00049,0.00068,0.00129,0.00188
187.629,0.00048,0.00066,0.00128,0.00184
187.955,0.0005,0.00066,0.00127,0.00188
188.28,0.00049,0.00067,0.00127,0.00188
188.606,0.00051,0.00068,0.00128,0.00181
188.932,0.0005,0.00068,0.00131,0.00179
189.257,0.00051,0.00066,0.00134,0.00178
189.583,0.00051,0.00064,0.00135,0.00182
189.908,0.00052,0.00063,0.00137,0.00183
190.234,0.00049,0.00065,0.00142,0.00171
190.559,0.0005,0.00065,0.00143,0.00174
190.885,0.0005,0.00066,0.00137,0.00177
191.21,0.0005,0.00067,0.0014,0.00178
191.536,0.0005,0.00068,0.00148,0.00178
191.861,0.00049,0.00067,0.00147,0.00181
192.187,0.00049,0.00066,0.00153,0.00178
192.513,0.0005,0.00066,0.00154,0.00166
192.838,0.0005,0.00067,0.00158,0.00166
193.164,0.0005,0.00066,0.00157,0.00157
193.489,0.00051,0.00067,0.00158,0.00162
193.815,0.00052,0.00067,0.00154,0.00172
194.14,0.0005,0.00067,0.00165,0.00166
194.466,0.00049,0.00066,0.00172,0.00165
194.791,0.00049,0.00065,0.0017,0.00166
